node	Australia	Canada	Czech Republic	Denmark	Germany	Ireland	Netherlands	Spain	Sweden	UK	USA
Node_996	0.023826717359707796	0.0012222783682335802	0.0002449256481940189	0.000728086355586835	0.0011253429309222537	0.0017134126956880158	0.001470750489590739	0.0013266993026976343	0.00048552051363112816	0.02075147650284384	0.9471047898329041
Node_128	0.6650240779853008	0.001850297873451752	0.0004523831760196035	0.0013447918600824852	0.002078533520183422	0.003164711715545544	0.0027165092044873465	0.03245377348257753	0.0008967672991299502	0.229881834593767	0.06013631928945441
Node_995	0.00011723986510104728	0.00024613083758939547	1.2684009108498213e-06	3.7705539137493154e-06	5.827928815583836e-06	8.873302731595749e-06	7.616602031504519e-06	6.573378692423282e-06	2.5143738233204885e-06	0.00011892036636328164	0.9994812643900273
SRR31112622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Node_127	0.7608621593912325	6.923637587558493e-05	1.6944662092592187e-05	5.037111206142072e-05	7.785446055960458e-05	0.00011853882611074837	0.00010175075683959007	0.0010608015707961628	3.358970816102449e-05	0.23564322901518261	0.001965524121088259
Node_131	0.00483111333010062	0.25298339567045613	0.0008683275987525064	0.0025812628509442083	0.003989644486789841	0.006074510891773064	0.005214207865120086	0.0008557839375875737	0.0017213014027646406	0.058371635668407584	0.6625088162973037
Node_994	1.2230675361000543e-07	2.5676302402446177e-07	1.3239155632731686e-09	3.935436915857495e-09	6.178323247298199e-09	9.282985914471462e-09	7.949669880276112e-09	6.857932420951902e-09	2.6243261791260044e-09	1.2410930829738598e-07	0.999999458668324
Node_119	0.7474206618129566	7.188077432728127e-05	1.7598267087688385e-05	5.231407263934551e-05	8.08575339675122e-05	0.00012311121406372662	0.00010567558004127497	0.0010429894527805932	3.488536108806904e-05	0.24911755924513365	0.001932466685914047
Node_126	0.7744749620710027	6.644862135545413e-05	1.626432482531441e-05	4.834868490753149e-05	7.472856222620015e-05	0.00011377942869145211	9.766540940254716e-05	0.0010005866667323852	3.2241063370470016e-05	0.2222210374382939	0.0018539377291919902
Node_129	3.587839642272201e-11	0.9999999981687825	6.522567174020231e-12	1.938952575472968e-11	2.9968785852449226e-11	4.562955885401487e-11	3.916726948372319e-11	6.4084770531696795e-12	1.2929802119276358e-11	3.8525582977333174e-10	1.250067327314636e-09
Node_130	4.962906039792283e-10	6.123645107737979e-10	9.05558418765478e-11	2.691938283619e-10	4.16070628355861e-10	6.334964445648498e-10	5.437774679060213e-10	8.88836599548332e-11	1.7951047263755126e-10	0.9999999958615472	8.083093669370033e-10
Node_144	1.6901560485747713e-08	3.547797578450751e-08	1.8346803174900328e-10	5.453723518475252e-10	8.561516085607198e-10	1.3051791885286045e-09	1.1016642499465836e-09	9.480671540055962e-10	3.636787907640628e-10	1.717853053908089e-08	0.9999999251383518
Node_993	1.6733605438088544e-10	1.3445007866974471e-10	4.617351889502592e-11	8.682913460362055e-11	3.348689438504523e-08	2.043372094732818e-10	1.755885855430896e-10	2.9020219228707453e-11	5.825160380304964e-11	4.6829525752215296e-09	0.9999999609281666
Node_101	0.0009691680186695341	4.274758476746784e-06	1.0531433975107978e-06	3.1306616681510897e-06	4.8388047201249665e-06	7.367416437248904e-06	6.324005587858362e-06	2.3559370757892506e-06	2.087665081840347e-06	0.998995092752661	4.30683622418319e-06
Node_118	0.021196791424710964	0.00011818951546485354	2.911839964199789e-05	8.655977696159278e-05	0.00013378828558558873	0.00020370196181790042	0.00017485265774892024	5.745359731480563e-05	5.772192686708571e-05	0.9778369903935229	0.0001048320603633627
Node_121	0.9963885763130172	1.8746483724402188e-05	4.617529640702896e-06	1.3726452714668735e-05	2.1215842282360197e-05	3.2302594172030537e-05	2.772773709536769e-05	1.863950770432369e-05	9.153411983630411e-06	0.003431006030200919	3.428809746434981e-05
Node_125	0.9921640041745946	7.686975936515329e-05	1.8937505547056063e-05	5.62952042871804e-05	8.701083959289363e-05	0.00013248004970432844	0.00011371755373745335	4.579975788107098e-05	3.754015755232468e-05	0.007183531157329303	8.381384040849523e-05
SRR26727944	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR26727941	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5413767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR369154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_142	1.9269362476617403e-09	4.006452275707858e-09	2.5764925177863742e-11	7.658871519060513e-11	1.1986135487953125e-10	2.074255346762249e-10	1.547109016884909e-10	1.115632596517823e-10	5.107279294073512e-11	2.2202774209053725e-09	0.9999999910993466
Node_143	1.1652294101633848e-10	8.630212058509831e-11	2.1264393549870363e-11	6.321230512376466e-11	9.770203038894017e-11	1.487581306755898e-10	1.2769024992093438e-10	2.087093783588991e-11	4.215278945408005e-11	1.1983245690220938e-09	0.9999999980771995
Node_147	1.756165080677696e-07	1.3007910067039217e-07	3.20641826672615e-08	9.526624262769778e-08	1.805871833092004e-07	2.2419097319254552e-07	1.9244010209428958e-07	3.145457500636989e-08	6.3528137133401e-08	4.751626726401932e-06	0.9999941231462688
Node_992	1.5334497868326169e-12	1.2240520379575149e-12	1.8898179797440784e-11	7.988014365793688e-13	3.6627276727211716e-08	1.8798317909541838e-12	1.8242417753311882e-12	2.666870006442292e-13	9.170895828896582e-13	3.956350717761358e-10	0.9999999629497459
Node_10	5.981744953171121e-05	3.0661921514536265e-05	7.555012423449873e-06	2.2458658386318758e-05	3.471249011277647e-05	5.2852178386447386e-05	4.536698506126386e-05	7.4404942471088574e-06	1.4976436890348809e-05	0.999710799778475	1.3358594971126806e-05
Node_100	0.0008421081418641946	3.721214297852483e-06	9.167706897330802e-07	2.725268812979823e-06	4.212222524717264e-06	6.4134015032442e-06	5.505103083169944e-06	2.0487213445371306e-06	1.8173310125991828e-06	0.9991267866579825	3.745166884412193e-06
Node_104	0.004339172631225027	0.00018088939805602005	4.457004345003157e-05	0.00013249261867534457	0.00020478287868732302	0.0003117961632733835	0.00026763801064064033	4.936570816326166e-05	8.835199805332599e-05	0.9942919903188393	8.89502309363611e-05
Node_117	0.005945613211137615	4.593003395283747e-05	1.1316147809308768e-05	3.363932230071556e-05	5.199351727561011e-05	7.916374310795576e-05	6.795217265592648e-05	1.9182113756823216e-05	2.2432203153224435e-05	0.9936878687968587	3.4908737991346566e-05
SRR6871397	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR459814	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6871402	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_124	0.9999999999599356	1.1796156945287285e-12	2.9064695091674804e-13	8.640013034794789e-13	1.335415330195488e-12	2.0332626389426693e-12	1.7453016806980738e-12	3.505710542748673e-13	5.761546737191537e-13	3.105635547126961e-11	6.331685631967196e-13
Node_140	1.0236954273680507e-09	9.263837132111802e-10	1.655650970284323e-10	4.921724334277039e-10	7.608070141245493e-10	3.8375739360190545e-09	9.94199166455379e-10	1.6812744690632097e-10	3.28202570448646e-10	9.380286112940194e-09	0.9999999819229871
Node_141	2.407593323161173e-13	1.7831677990603977e-13	4.393647184261002e-14	1.3060921101137601e-13	2.0187185175701925e-13	3.0736393037647967e-13	2.6383348563804566e-13	4.312350097689627e-14	8.709605767020359e-14	2.4759770881291097e-12	0.9999999999960271
SRR12051840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_145	9.760909035284938e-08	7.229318511923993e-08	1.781284690096998e-08	5.295195035966252e-08	8.184350318609711e-08	1.2461233784222972e-07	1.0696410709920375e-07	1.7483238885883147e-08	3.5310726453648026e-08	0.9999977246489865	1.6684700272261794e-06
Node_146	3.348047550571913e-07	2.4796975580539617e-07	6.109908477212179e-08	1.8162821356748737e-07	2.8073318785603036e-07	4.274274348165505e-07	3.668929955917714e-07	5.996850781900304e-08	1.2111780821913727e-07	3.4436357411372387e-06	0.9999944747225153
Node_203	1.429096940209033e-09	1.0585334533592648e-09	1.855892661146794e-08	7.752380397296083e-10	1.094902844423439e-07	1.8243751948897898e-09	1.566206065051461e-09	2.559646217119823e-10	5.173431936049057e-10	1.473496703567794e-07	0.999999717174361
Node_991	6.153371440810855e-10	4.55919433153376e-10	1.3039899718337293e-10	3.3378329795096167e-10	2.976017161140868e-07	7.854925312937158e-10	7.647640221736331e-10	1.1020827176449435e-10	3.877641644511365e-10	7.087500598073502e-09	0.9999996917271154
Node_1	2.4640735981857532e-11	1.5841702404836342e-11	3.9033524840977215e-12	1.1603430290814772e-11	1.7934462171147834e-11	2.7306464931067555e-11	2.3439184995283933e-11	3.835587838244873e-12	7.737685772352676e-12	0.9999999998568715	6.885877067065597e-12
ERR115070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_93	0.0001874719319423528	4.952395919779097e-06	1.220229742446768e-06	3.627356436023376e-06	5.606504727755812e-06	8.536293047003296e-06	7.327339969033899e-06	1.4457821509831937e-06	2.4188833459436543e-06	0.9997747832875893	2.6099951294564207e-06
Node_99	0.000839983563770953	3.851001008452625e-06	9.487501346910334e-07	2.8203335712408985e-06	4.359156256217817e-06	6.637118319959155e-06	5.697135990643622e-06	2.0769525021028697e-06	1.8807244410089829e-06	0.9991279496017333	3.7956622713190866e-06
ERR1081300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_103	2.569187691057956e-07	1.0750124080288279e-07	2.648800045578649e-08	7.874043353346662e-08	1.2170257339020217e-07	1.8530062516433118e-07	1.5905741163979424e-07	2.615127767207597e-08	5.2507639292070443e-08	0.9999989386764826	4.695554632720603e-08
Node_109	0.003100450051963362	4.4961137884392914e-05	1.1077844284590015e-05	3.293092142009017e-05	5.089860064447629e-05	7.74966564516012e-05	6.652118725974197e-05	1.5044971115996242e-05	2.1959809793867905e-05	0.9965514057516154	2.7253067566506553e-05
Node_116	2.338853912624657e-10	7.391364108358974e-11	1.8212102613857718e-11	5.41388111860238e-11	8.367788118446188e-11	1.274053889246154e-10	1.0936159213353228e-10	1.805914585203219e-11	3.61021782823818e-11	0.9999999992128135	3.243041287102163e-11
Node_123	0.9999999999923036	3.5364769904813433e-13	8.713777609777463e-14	2.59033001699531e-13	4.003658791950193e-13	6.095848727162061e-13	5.23252374043665e-13	8.614512037465333e-14	1.727347794218125e-13	5.049816840902296e-12	1.5468332062291344e-13
SRR6871403	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_139	1.287184359403824e-07	9.537982951068987e-08	2.348425409625077e-08	6.981124720150952e-08	1.0790149522133474e-07	1.5592703553995338e-06	1.4102025839761678e-07	2.3051235407779023e-08	4.6553258880016764e-08	1.3234351018224375e-06	0.9999964813745282
SRR12051578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR30795503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR30795461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR114967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR115035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR7800549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR7800552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
