"parent","node","branch.length","label","date","geo_loc_name_country","isTip","x","y","branch","angle"
124,1,1.05835,"SRR26728003","38.108306","Canada",TRUE,38.10835,1,37.579175,2.97520661157025
125,2,0.001,"SRR26727984","37.051952","Canada",TRUE,37.052,2,37.0515,5.9504132231405
126,3,0.001,"SRR26727953","37.052952","Canada",TRUE,37.053,3,37.0525,8.92561983471074
126,4,0.001,"SRR26728075","37.052952","Canada",TRUE,37.053,4,37.0525,11.900826446281
127,5,41.3161,"SRR16943818","62.113152","Canada",TRUE,62.1132,5,41.45515,14.8760330578512
128,6,3.97642,"SRR12051731","39.558349","USA",TRUE,39.55832,6,37.57011,17.8512396694215
129,7,4.08269,"SRR12051727","47.029041","USA",TRUE,47.02902,7,44.987675,20.8264462809917
130,8,3.1245,"SRR12051728","46.071853","USA",TRUE,46.07183,8,44.50958,23.801652892562
130,9,5.02011,"SRR12051729","47.967461","USA",TRUE,47.96744,9,45.457385,26.7768595041322
131,10,13.4295,"SRR26728063","26.108414","Canada",TRUE,26.1084,10,19.39365,29.7520661157025
136,11,1.08214,"SRR12051693","60.095048","USA",TRUE,60.09502,15,59.55395,44.6280991735537
136,12,1.07246,"SRR12051654","60.085373","USA",TRUE,60.08534,16,59.54911,47.603305785124
135,13,2.21349,"SRR7800718","55.856911","USA",TRUE,55.85688,14,54.750135,41.6528925619835
134,14,33.1118,"ERR5384768","46.777644","Norway",TRUE,46.77759,13,30.22169,38.6776859504132
137,15,0.001,"ERR363431","38.794233","USA",TRUE,38.7942,11,38.7937,32.7272727272727
137,16,0.001,"ERR363484","38.794233","USA",TRUE,38.7942,12,38.7937,35.702479338843
140,17,10.3225,"ERR369139","25.062","Denmark",TRUE,25.06197,20,19.90072,59.504132231405
142,18,0.001,"ERR3198504","37.28583","UK",TRUE,37.28577,21,37.28527,62.4793388429752
142,19,0.001,"ERR567859","37.28583","UK",TRUE,37.28577,22,37.28527,65.4545454545455
144,20,0.001,"ERR5412228","35.544443","UK",TRUE,35.54436,24,35.54386,71.404958677686
144,21,0.001,"ERR5413022","35.544443","UK",TRUE,35.54436,25,35.54386,74.3801652892562
143,22,17.7265,"SRR14719107","38.670263","Singapore",TRUE,38.67026,23,29.80701,68.4297520661157
146,23,0.001,"SRR19357815","47.831525","Taiwan",TRUE,47.8315,18,47.831,53.5537190082645
146,24,0.001,"SRR19357812","47.831525","Taiwan",TRUE,47.8315,19,47.831,56.5289256198347
145,25,49.4302,"ERR5414245","62.113152","UK",TRUE,62.1131,17,37.398,50.5785123966942
148,26,26.4099,"ERR5384776","41.137242","Norway",TRUE,41.13718,26,27.93223,77.3553719008264
149,27,13.4163,"DRR317381","28.144621","Japan",TRUE,28.14458,27,21.43643,80.3305785123967
149,28,23.8961,"ERR494976","38.624368","Sweden",TRUE,38.62438,28,26.67633,83.3057851239669
154,29,0.001,"DRR317503","38.262408","Taiwan",TRUE,38.26243,42,38.26193,124.95867768595
154,30,0.001,"ERR3198392","38.262408","Spain",TRUE,38.26243,43,38.26193,127.933884297521
157,31,0.001,"SRR16943799","38.504475","Canada",TRUE,38.50443,45,38.50393,133.884297520661
159,32,0.001,"SRR16943797","39.606893","Canada",TRUE,39.60685,47,39.60635,139.834710743802
159,33,0.001,"SRR16943796","39.606893","Canada",TRUE,39.60685,48,39.60635,142.809917355372
158,34,0.001,"SRR16943798","38.505475","Canada",TRUE,38.50543,46,38.50493,136.859504132231
156,35,20.9579,"ERR5414389","44.984952","UK",TRUE,44.98493,44,34.50598,130.909090909091
160,36,18.8134,"SRR14719161","42.840505","Singapore",TRUE,42.84043,49,33.43373,145.785123966942
162,37,24.2529,"SRR16943816","54.435587","Canada",TRUE,54.43551,53,42.30906,157.685950413223
163,38,1.09595,"ERR5413158","46.963922","UK",TRUE,46.96386,54,46.415885,160.661157024793
164,39,0.001,"ERR5412428","45.869973","UK",TRUE,45.86991,55,45.86941,163.636363636364
165,40,0.001,"ERR5414163","46.894399","UK",TRUE,46.89434,56,46.89384,166.611570247934
165,41,0.001,"ERR5413934","46.894399","UK",TRUE,46.89434,57,46.89384,169.586776859504
166,42,4.14783,"ERR5414088","40.622712","UK",TRUE,40.62268,50,38.548765,148.760330578512
167,43,0.001,"ERR5413222","38.514095","UK",TRUE,38.51406,51,38.51356,151.735537190083
167,44,0.001,"ERR5413298","38.514095","UK",TRUE,38.51406,52,38.51356,154.710743801653
168,45,24.9442,"ERR373956","42.756966","USA",TRUE,42.75697,31,30.28487,92.2314049586777
170,46,4.07002,"ERR5412612","35.458569","UK",TRUE,35.45853,32,33.42352,95.2066115702479
170,47,6.1702,"ERR494979","37.558747","UK",TRUE,37.55871,33,34.47361,98.1818181818182
171,48,4.0801,"SRR23701777","41.584597","Australia",TRUE,41.58461,34,39.54456,101.157024793388
173,49,3.05883,"ERR459965","42.601908","Australia",TRUE,42.60193,35,41.072515,104.132231404959
174,50,7.1462,"SRR23701801","46.690278","Australia",TRUE,46.6903,36,43.1172,107.107438016529
174,51,5.09624,"SRR25361475","44.640317","Australia",TRUE,44.64034,37,42.09222,110.082644628099
175,52,4.07428,"SRR23701778","41.580776","Australia",TRUE,41.58079,38,39.54365,113.057851239669
176,53,0.001,"ERR459860","42.602058","Australia",TRUE,42.60207,39,42.60157,116.03305785124
177,54,0.001,"ERR459956","42.603058","Australia",TRUE,42.60307,40,42.60257,119.00826446281
177,55,0.001,"ERR459859","42.603058","Australia",TRUE,42.60307,41,42.60257,121.98347107438
178,56,14.4774,"SRR25361465","36.480853","Australia",TRUE,36.48084,29,29.24214,86.2809917355372
178,57,12.497,"ERR373960","34.500502","USA",TRUE,34.50044,30,28.25194,89.2561983471074
180,58,23.1893,"ERR5412883","46.207655","UK",TRUE,46.20761,86,34.61296,255.867768595041
181,59,7.20744,"SRR25361444","34.303138","Australia",TRUE,34.3031,87,30.69938,258.842975206612
183,60,0.001,"ERR484959","34.254951","Australia",TRUE,34.25492,88,34.25442,261.818181818182
184,61,0.001,"ERR494953","34.255951","Australia",TRUE,34.25592,89,34.25542,264.793388429752
184,62,0.001,"ERR494952","34.255951","Australia",TRUE,34.25592,90,34.25542,267.768595041322
187,63,0.001,"SRR29709404","30.171032","Australia",TRUE,30.171,101,30.1705,300.495867768595
187,64,0.001,"SRR29709407","30.171032","Australia",TRUE,30.171,102,30.1705,303.471074380165
191,65,0.001,"SRR29709405","30.174032","Australia",TRUE,30.174,109,30.1735,324.297520661157
191,66,0.001,"SRR29709399","30.174032","Australia",TRUE,30.174,110,30.1735,327.272727272727
192,67,0.001,"SRR29709403","30.174032","Australia",TRUE,30.174,111,30.1735,330.247933884297
192,68,0.001,"SRR29709409","30.174032","Australia",TRUE,30.174,112,30.1735,333.223140495868
193,69,0.001,"SRR29709402","30.173032","Australia",TRUE,30.173,113,30.1725,336.198347107438
195,70,2.04577,"ERR494959","32.219798","Australia",TRUE,32.21977,114,31.196885,339.173553719008
197,71,0.001,"ERR494954","32.218508","Australia",TRUE,32.21848,116,32.21798,345.123966942149
197,72,0.001,"ERR484960","32.218508","Australia",TRUE,32.21848,117,32.21798,348.099173553719
196,73,12.3358,"SRR23701805","42.510856","Australia",TRUE,42.5108,115,36.3429,342.148760330579
199,74,0.001,"SRR23701794","36.325275","Australia",TRUE,36.32524,119,36.32474,354.04958677686
200,75,0.001,"SRR23701797","37.342511","Australia",TRUE,37.34248,120,37.34198,357.02479338843
200,76,0.001,"SRR23701793","37.342511","Australia",TRUE,37.34248,121,37.34198,360
198,77,1.02077,"ERR484982","31.194804","Australia",TRUE,31.19477,118,30.684385,351.074380165289
203,78,0.001,"SRR29709401","30.174032","Australia",TRUE,30.174,105,30.1735,312.396694214876
203,79,0.001,"SRR29709398","30.174032","Australia",TRUE,30.174,106,30.1735,315.371900826446
204,80,0.001,"SRR29709408","30.174032","Australia",TRUE,30.174,107,30.1735,318.347107438017
204,81,0.001,"ERR494951","30.174032","Australia",TRUE,30.174,108,30.1735,321.322314049587
205,82,0.001,"SRR29709400","30.173032","Australia",TRUE,30.173,103,30.1725,306.446280991736
205,83,0.001,"SRR29709406","30.173032","Australia",TRUE,30.173,104,30.1725,309.421487603306
206,84,6.15601,"ERR494950","36.325045","Australia",TRUE,36.32501,91,33.247005,270.743801652893
209,85,1.01673,"SRR23701742","38.350578","Australia",TRUE,38.35054,98,37.842175,291.570247933884
210,86,1.01674,"SRR23701800","38.351584","Australia",TRUE,38.35155,99,37.84318,294.545454545455
210,87,0.001,"SRR23701802","37.335848","Australia",TRUE,37.33581,100,37.33531,297.520661157025
211,88,0.001,"ERR494948","33.231121","Australia",TRUE,33.23108,96,33.23058,285.619834710744
211,89,0.001,"ERR494949","33.231121","Australia",TRUE,33.23108,97,33.23058,288.595041322314
214,90,8.10046,"SRR23701744","41.420807","Australia",TRUE,41.42077,94,37.37054,279.669421487603
214,91,12.2714,"SRR23701772","45.591729","Australia",TRUE,45.59171,95,39.45601,282.644628099174
213,92,1.0261,"SRR23701773","33.233158","Australia",TRUE,33.23312,93,32.72007,276.694214876033
212,93,8.19345,"SRR23701771","39.383765","Australia",TRUE,39.38373,92,35.287005,273.719008264463
215,94,11.3581,"SRR14719212","30.196667","Singapore",TRUE,30.19666,58,24.51761,172.561983471074
218,95,0.001,"ERR343235","42.786752","UK",TRUE,42.78676,59,42.78626,175.537190082645
218,96,0.001,"ERR374105","42.786752","UK",TRUE,42.78676,60,42.78626,178.512396694215
219,97,0.001,"ERR369189","41.766946","UK",TRUE,41.76696,61,41.76646,181.487603305785
219,98,0.001,"ERR330854","41.766946","UK",TRUE,41.76696,62,41.76646,184.462809917355
220,99,21.8461,"SRR4423485","40.68668","USA",TRUE,40.68666,63,29.76361,187.438016528926
221,100,21.2778,"ERR5412025","40.740709","UK",TRUE,40.74073,64,30.10183,190.413223140496
223,101,5.14206,"ERR5414356","49.877501","UK",TRUE,49.87749,65,47.30646,193.388429752066
223,102,7.1905,"ERR5413957","51.925943","UK",TRUE,51.92593,66,48.33068,196.363636363636
225,103,2.05939,"ERR5413613","39.585129","UK",TRUE,39.58512,67,38.555425,199.338842975207
225,104,2.04761,"SRR26728036","39.573352","Canada",TRUE,39.57334,68,38.549535,202.314049586777
229,105,0.001,"ERR5414325","38.552482","UK",TRUE,38.55247,78,38.55197,232.066115702479
229,106,3.07928,"ERR5413865","41.630761","UK",TRUE,41.63075,79,40.09111,235.04132231405
232,107,1.02165,"ERR5412105","40.596495","UK",TRUE,40.59648,82,40.085655,243.96694214876
233,108,0.001,"ERR5414345","39.57684","UK",TRUE,39.57683,83,39.57633,246.942148760331
234,109,0.001,"ERR5413620","39.57784","UK",TRUE,39.57783,84,39.57733,249.917355371901
234,110,0.001,"ERR5414130","39.57784","UK",TRUE,39.57783,85,39.57733,252.892561983471
231,111,2.04792,"ERR5413660","40.600397","UK",TRUE,40.60039,81,39.57643,240.99173553719
230,112,0.001,"ERR5413563","38.552482","UK",TRUE,38.55247,80,38.55197,238.01652892562
227,113,4.10023,"ERR7253731","41.626975","Germany",TRUE,41.62696,77,39.576845,229.090909090909
235,114,1.02281,"SRR25361509","38.54955","Australia",TRUE,38.54954,69,38.038135,205.289256198347
236,115,1.13562,"SRR15713780","38.663359","USA",TRUE,38.66335,70,38.09554,208.264462809917
237,116,0.001,"SRR6045389","43.692774","UK",TRUE,43.69276,71,43.69226,211.239669421488
238,117,0.001,"ERR5413650","43.693774","UK",TRUE,43.69376,72,43.69326,214.214876033058
239,118,0.001,"SRR6046599","43.694774","UK",TRUE,43.69476,73,43.69426,217.190082644628
240,119,0.001,"ERR5412023","43.695774","UK",TRUE,43.69576,74,43.69526,220.165289256198
241,120,0.001,"ERR5413487","43.696774","UK",TRUE,43.69676,75,43.69626,223.140495867769
241,121,0.001,"SRR6046912","43.696774","UK",TRUE,43.69676,76,43.69626,226.115702479339
122,122,0,"Node_125","0","UK",FALSE,0,9.78979778289795,0,29.1266710896137
122,123,20.7961,"Node_8","20.796078","Canada",FALSE,20.7961,3.90625,10.39805,11.6219008264463
123,124,16.2539,"Node_3","37.049952","Canada",FALSE,37.05,1.875,28.92305,5.57851239669421
124,125,0.001,"Node_2","37.050952","Canada",FALSE,37.051,2.75,37.0505,8.18181818181818
125,126,0.001,"Node_1","37.051952","Canada",FALSE,37.052,3.5,37.0515,10.4132231404959
123,127,0.001,"Node_7","20.797078","Canada",FALSE,20.7971,5.9375,20.7966,17.6652892561983
127,128,14.7848,"Node_6","35.581924","USA",FALSE,35.5819,6.875,28.1895,20.4545454545455
128,129,7.36443,"Node_5","42.946355","USA",FALSE,42.94633,7.75,39.264115,23.0578512396694
129,130,0.001,"Node_4","42.947355","USA",FALSE,42.94733,8.5,42.94683,25.2892561983471
122,131,12.6789,"Node_124","12.678934","UK",FALSE,12.6789,15.6733455657959,6.33945,46.6314413527812
131,132,0.001,"Node_123","12.679934","UK",FALSE,12.6799,21.3466911315918,12.6794,63.5108165898599
132,133,0.001,"Node_14","12.680934","UK",FALSE,12.6809,12.6875,12.6804,37.7479338842975
133,134,0.98489,"Node_12","13.665824","UK",FALSE,13.66579,13.875,13.173345,41.2809917355372
