node	geo_loc_name_country
Node_125	UK
Node_8	Canada
Node_124	UK
Node_3	Canada
Node_7	Canada
SRR26728063	Canada
Node_123	UK
SRR26728003	Canada
Node_2	Canada
SRR16943818	Canada
Node_6	USA
Node_14	UK
Node_122	UK
SRR26727984	Canada
Node_1	Canada
SRR12051731	USA
Node_5	USA
Node_12	UK
Node_13	USA
Node_22	UK
Node_121	UK
SRR26727953	Canada
SRR26728075	Canada
SRR12051727	USA
Node_4	USA
Node_11	USA
ERR5384768	Norway
ERR363431	USA
ERR363484	USA
Node_19	UK
Node_21	UK
Node_27	UK
Node_120	UK
SRR12051728	USA
SRR12051729	USA
Node_10	USA
SRR7800718	USA
ERR369139	Denmark
Node_18	UK
Node_20	Taiwan
ERR5414245	UK
ERR5384776	Norway
Node_26	UK
Node_55	UK
Node_119	UK
SRR12051693	USA
SRR12051654	USA
Node_15	UK
Node_17	UK
SRR19357815	Taiwan
SRR19357812	Taiwan
DRR317381	Japan
ERR494976	Sweden
Node_53	UK
Node_54	UK
Node_90	UK
Node_118	UK
ERR3198504	UK
ERR567859	UK
Node_16	UK
SRR14719107	Singapore
Node_42	UK
Node_52	UK
SRR25361465	Australia
ERR373960	USA
ERR5412883	UK
Node_89	Australia
SRR14719212	Singapore
Node_117	UK
ERR5412228	UK
ERR5413022	UK
Node_28	Taiwan
Node_41	UK
ERR373956	USA
Node_51	UK
SRR25361444	Australia
Node_88	Australia
Node_94	UK
Node_116	UK
DRR317503	Taiwan
ERR3198392	Spain
Node_32	UK
Node_40	UK
Node_43	UK
Node_50	Australia
Node_57	Australia
Node_87	Australia
Node_92	UK
Node_93	UK
SRR4423485	USA
Node_115	UK
Node_31	Canada
ERR5414389	UK
SRR14719161	Singapore
Node_39	UK
ERR5412612	UK
ERR494979	UK
SRR23701777	Australia
Node_49	Australia
ERR484959	Australia
Node_56	Australia
Node_77	Australia
Node_86	Australia
ERR343235	UK
ERR374105	UK
ERR369189	UK
ERR330854	UK
ERR5412025	UK
Node_114	UK
SRR16943799	Canada
Node_30	Canada
Node_36	UK
Node_38	UK
Node_45	Australia
Node_48	Australia
ERR494953	Australia
ERR494952	Australia
Node_58	Australia
Node_76	Australia
ERR494950	Australia
Node_85	Australia
Node_95	UK
Node_113	UK
Node_29	Canada
SRR16943798	Canada
SRR16943816	Canada
Node_35	UK
ERR5414088	UK
Node_37	UK
ERR459965	Australia
Node_44	Australia
SRR23701778	Australia
Node_47	Australia
SRR29709404	Australia
SRR29709407	Australia
Node_70	Australia
Node_75	Australia
Node_81	Australia
Node_84	Australia
ERR5414356	UK
ERR5413957	UK
Node_96	UK
Node_112	UK
SRR16943797	Canada
SRR16943796	Canada
ERR5413158	UK
Node_34	UK
ERR5413222	UK
ERR5413298	UK
SRR23701801	Australia
SRR25361475	Australia
ERR459860	Australia
Node_46	Australia
Node_61	Australia
Node_69	Australia
Node_73	Australia
Node_74	Australia
Node_79	Australia
Node_80	Australia
Node_83	Australia
SRR23701771	Australia
ERR5413613	UK
SRR26728036	Canada
Node_104	UK
Node_111	UK
ERR5412428	UK
Node_33	UK
ERR459956	Australia
ERR459859	Australia
Node_59	Australia
Node_60	Australia
SRR29709402	Australia
Node_68	Australia
Node_71	Australia
Node_72	Australia
SRR29709400	Australia
SRR29709406	Australia
SRR23701742	Australia
Node_78	Australia
ERR494948	Australia
ERR494949	Australia
Node_82	Australia
SRR23701773	Australia
Node_103	UK
ERR7253731	Germany
SRR25361509	Australia
Node_110	UK
ERR5414163	UK
ERR5413934	UK
SRR29709405	Australia
SRR29709399	Australia
SRR29709403	Australia
SRR29709409	Australia
Node_64	Australia
Node_67	Australia
SRR29709401	Australia
SRR29709398	Australia
SRR29709408	Australia
ERR494951	Australia
SRR23701800	Australia
SRR23701802	Australia
SRR23701744	Australia
SRR23701772	Australia
Node_97	UK
Node_102	UK
SRR15713780	USA
Node_109	UK
ERR494959	Australia
Node_63	Australia
Node_66	Australia
ERR484982	Australia
ERR5414325	UK
ERR5413865	UK
Node_101	UK
ERR5413563	UK
SRR6045389	UK
Node_108	UK
Node_62	Australia
SRR23701805	Australia
SRR23701794	Australia
Node_65	Australia
Node_100	UK
ERR5413660	UK
ERR5413650	UK
Node_107	UK
ERR494954	Australia
ERR484960	Australia
SRR23701797	Australia
SRR23701793	Australia
ERR5412105	UK
Node_99	UK
SRR6046599	UK
Node_106	UK
ERR5414345	UK
Node_98	UK
ERR5412023	UK
Node_105	UK
ERR5413620	UK
ERR5414130	UK
ERR5413487	UK
SRR6046912	UK
