"parent","node","branch.length","label","date","geo_loc_name_country","isTip","x","y","branch","angle"
253,1,79.1808,"DRR317590","109.235479","Taiwan",TRUE,109.2355,1,69.6451,1.43426294820717
253,2,65.8818,"SRR14719106","95.936445","Singapore",TRUE,95.9365,2,62.9956,2.86852589641434
255,3,20.2648,"SRR14719295","74.865632","Singapore",TRUE,74.86562,3,64.73322,4.30278884462151
255,4,34.7384,"SRR14719253","89.339217","Singapore",TRUE,89.33922,4,71.97002,5.73705179282869
257,5,18.1711,"ERR2524314","72.600513","Netherlands",TRUE,72.60047,5,63.51492,7.17131474103586
261,6,1.00122,"SRR14043037","84.68108","Thailand",TRUE,84.68105,8,84.18044,11.4741035856574
261,7,0.00188,"SRR14043052","83.681741","Thailand",TRUE,83.68171,9,83.68077,12.9083665338645
264,8,16.1096,"SRR30795565","92.677796","USA",TRUE,92.67779,16,84.62299,22.9482071713147
265,9,8.10858,"ERR5384814","84.678683","Norway",TRUE,84.67865,17,80.62436,24.3824701195219
266,10,4.01101,"SRR14042994","93.663777","Thailand",TRUE,93.66378,18,91.658275,25.8167330677291
269,11,0.00188,"SRR14043044","90.653203","Thailand",TRUE,90.65322,21,90.65228,30.1195219123506
269,12,0.00188,"SRR14043033","90.653203","Thailand",TRUE,90.65322,22,90.65228,31.5537848605578
268,13,0.00188,"SRR14043031","90.651326","Thailand",TRUE,90.65134,20,90.6504,28.6852589641434
267,14,0.00188,"SRR14043020","90.649449","Thailand",TRUE,90.64946,19,90.64852,27.2509960159363
270,15,0.00188,"SRR14043018","86.638669","Thailand",TRUE,86.63864,14,86.6377,20.0796812749004
270,16,0.00188,"SRR14043017","86.638669","Thailand",TRUE,86.63864,15,86.6377,21.5139442231076
272,17,0.00188,"ERR5413440","109.235474","UK",TRUE,109.23547,10,109.23453,14.3426294820717
272,18,0.00188,"SRR6045937","109.235474","UK",TRUE,109.23547,11,109.23453,15.7768924302789
273,19,0.00188,"SRR6046826","109.235474","UK",TRUE,109.23547,12,109.23453,17.2111553784861
273,20,0.00188,"ERR5412126","109.235474","UK",TRUE,109.23547,13,109.23453,18.6454183266932
274,21,9.03654,"SRR14066540","74.553097","Thailand",TRUE,74.55307,6,70.0348,8.60557768924303
274,22,17.1549,"SRR14043016","82.671441","Thailand",TRUE,82.67143,7,74.09398,10.0398406374502
278,23,12.1202,"DRR317517","83.721365","Taiwan",TRUE,83.72135,67,77.66125,96.0956175298805
281,24,0.00188,"SRR6388753","75.623718","UK",TRUE,75.62371,71,75.62277,101.832669322709
282,25,0.00188,"ERR5412007","75.625595","UK",TRUE,75.62559,72,75.62465,103.266932270916
283,26,0.00188,"SRR6388703","75.627472","UK",TRUE,75.62747,73,75.62653,104.701195219124
283,27,0.00188,"ERR5414044","75.627472","UK",TRUE,75.62747,74,75.62653,106.135458167331
280,28,0.00188,"ERR5412058","75.621841","UK",TRUE,75.62183,70,75.62089,100.398406374502
284,29,0.00188,"SRR6388681","77.626543","UK",TRUE,77.62653,68,77.62559,97.5298804780876
284,30,0.00188,"ERR5412852","77.626543","UK",TRUE,77.62653,69,77.62559,98.9641434262948
287,31,0.00188,"ERR7253682","79.654191","Germany",TRUE,79.65418,75,79.65324,107.569721115538
287,32,0.00188,"ERR4298308","79.654191","Germany",TRUE,79.65418,76,79.65324,109.003984063745
288,33,0.00188,"ERR5413352","78.63958","UK",TRUE,78.63957,77,78.63863,110.438247011952
289,34,0.00188,"ERR5413998","78.641457","UK",TRUE,78.64145,78,78.64051,111.872509960159
289,35,0.00188,"ERR5413266","78.641457","UK",TRUE,78.64145,79,78.64051,113.306772908367
292,36,7.0421,"SRR30795563","82.661072","USA",TRUE,82.66106,88,79.14001,126.215139442231
298,37,0.99776,"ERR5412871","87.69669","UK",TRUE,87.69669,106,87.19781,152.03187250996
299,38,0.00188,"ERR5413342","91.733117","UK",TRUE,91.73312,107,91.73218,153.466135458167
300,39,0.00188,"ERR5412416","91.7349939999999","UK",TRUE,91.735,108,91.73406,154.900398406375
300,40,0.00188,"ERR5412550","91.7349939999999","UK",TRUE,91.735,109,91.73406,156.334661354582
301,41,0.00188,"SRR18969494","78.636033","China",TRUE,78.63603,104,78.63509,149.163346613546
301,42,0.00188,"SRR18969492","78.636033","China",TRUE,78.63603,105,78.63509,150.597609561753
302,43,6.04607,"SRR25637285","83.678235","China",TRUE,83.67823,102,80.655195,146.294820717131
302,44,7.04598,"SRR25637281","84.678142","China",TRUE,84.67814,103,81.15515,147.729083665339
305,45,3.01338,"ERR484964","81.645912","UK",TRUE,81.64591,111,80.13922,159.203187250996
305,46,5.06058,"ERR5384812","83.693119","Norway",TRUE,83.69311,112,81.16282,160.637450199203
304,47,8.03696,"SRR32604925","85.669127","China",TRUE,85.66912,110,81.65064,157.768924302789
307,48,0.00188,"ERR5412375","81.64682","UK",TRUE,81.64682,114,81.64588,163.505976095618
308,49,0.00188,"ERR5412924","81.6486969999999","UK",TRUE,81.6487,115,81.64776,164.940239043825
