node	geo_loc_name_country
Node_118	UK
Node_25	UK
Node_117	UK
Node_1	UK
Node_24	UK
Node_97	UK
Node_116	UK
ERR330907	UK
ERR369242	UK
ERR5412973	UK
Node_23	Taiwan
Node_57	China
Node_96	UK
Node_99	UK
Node_115	UK
Node_16	USA
Node_21	Taiwan
SRR28113981	China
Node_56	China
Node_80	UK
Node_95	USA
Node_98	UK
ERR5413016	UK
Node_109	Canada
Node_114	UK
Node_6	USA
Node_15	USA
Node_20	Taiwan
SRR25361456	Australia
SRR28113988	China
Node_55	China
Node_60	UK
Node_79	UK
Node_81	USA
Node_94	USA
SRR30894602	Bangladesh
ERR5412531	UK
Node_107	Canada
Node_108	UK
Node_110	UK
Node_112	UK
SRR30933963	USA
Node_5	UK
Node_14	USA
ERR5413584	UK
Node_17	Taiwan
Node_19	Taiwan
SRR28113990	China
Node_54	China
Node_58	UK
ERR5412503	UK
Node_63	UK
Node_78	UK
SRR7800707	USA
SRR7800493	USA
Node_82	USA
Node_93	USA
Node_103	Canada
Node_106	Canada
ERR5413833	UK
ERR1081297	UK
ERR5412127	UK
ERR5412039	UK
ERR494941	UK
Node_111	China
Node_3	UK
Node_4	USA
SRR30795577	USA
Node_13	USA
SRR30933971	USA
DRR317586	Taiwan
SRR19357810	Taiwan
ERR1413196	Germany
Node_53	China
SRR28113991	China
ERR5411973	UK
ERR5412405	UK
DRR317522	Taiwan
Node_62	UK
Node_65	UK
Node_76	UK
SRR7800635	USA
SRR7800524	USA
SRR12051827	USA
Node_92	USA
Node_100	Canada
Node_102	Canada
Node_104	Ireland
Node_105	UK
SRR18969526	China
SRR18969502	China
ERR5413862	UK
Node_2	UK
SRR30933985	USA
SRR30933983	USA
Node_9	UK
Node_12	USA
Node_51	China
Node_52	China
ERR12065641	Portugal
Node_61	UK
SRR27279531	Czech Republic
Node_64	UK
Node_67	UK
Node_75	Ireland
Node_85	USA
Node_91	USA
SRR26728025	Canada
SRR18969500	China
Node_101	UK
SRR26727955	Canada
SRR12574868	USA
ERR4020113	Ireland
ERR5412118	UK
SRR6046455	UK
ERR5412649	UK
SRR6388759	UK
Node_8	UK
ERR5414098	UK
SRR12051695	USA
ERR5413103	UK
Node_46	China
Node_50	China
SRR28113959	China
SRR28113969	China
ERR5412407	UK
ERR5412113	UK
ERR374005	USA
DRR317502	Taiwan
ERR5412993	UK
SRR30795442	USA
Node_69	Ireland
Node_74	UK
SRR12051838	USA
Node_84	USA
Node_90	USA
SRR7800680	USA
ERR5412500	UK
ERR5412141	UK
ERR5413518	UK
Node_7	UK
SRR28113989	China
Node_45	China
Node_49	China
SRR28113976	China
ERR4020094	Ireland
Node_68	Ireland
Node_72	UK
Node_73	UK
Node_83	USA
SRR7800638	USA
Node_88	USA
Node_89	USA
ERR5413410	UK
ERR5412948	UK
Node_32	China
Node_44	China
Node_48	China
SRR28113972	China
ERR363321	Ireland
ERR330835	Ireland
SRR6388686	UK
SRR6388766	UK
SRR6388762	UK
SRR6388677	UK
SRR7800634	USA
SRR12051521	USA
Node_86	USA
Node_87	USA
SRR7800637	USA
SRR7800491	USA
Node_28	China
Node_31	China
SRR28113968	China
Node_43	China
SRR28113980	China
Node_47	China
SRR7800636	USA
SRR7800643	USA
SRR7800488	USA
SRR7800490	USA
SRR28113970	China
Node_27	China
Node_30	China
SRR28113965	China
SRR28113983	China
Node_42	China
SRR28113986	China
SRR28113975	China
Node_26	China
SRR28113962	China
Node_29	China
SRR28113979	China
Node_39	China
Node_41	China
SRR28113977	China
SRR28113985	China
SRR28113960	China
SRR28113966	China
Node_34	China
Node_38	China
Node_40	China
SRR28113971	China
SRR28113978	China
Node_33	China
SRR28113964	China
Node_37	China
SRR28113973	China
SRR28113987	China
SRR28113974	China
SRR28113963	China
SRR28113984	China
Node_36	China
Node_35	China
SRR28113961	China
SRR28113982	China
SRR28113967	China
