node	Australia	UK	USA
Node_76	0.15475188540646678	0.7485707420668135	0.0966773725267195
Node_72	0.0165306503975277	0.9725145170938503	0.010954832508621986
Node_75	0.1810107125602065	0.7071441822091719	0.1118451052306216
Node_27	8.787441801058642e-08	0.9999998479988439	6.412673801548412e-08
Node_71	0.008425655113745954	0.9853427512549754	0.0062315936312788344
ERR484956	0.0	1.0	0.0
Node_74	0.18101772207543748	0.7071329928479099	0.1118492850766526
Node_26	2.993549006227503e-10	0.9999999994821851	2.1846006885955093e-10
ERR5412653	0.0	1.0	0.0
Node_68	1.323168870214493e-08	0.999999974803396	1.196491531122519e-08
Node_70	7.621649425227086e-08	0.9999998560588331	6.77246725802471e-08
SRR12574848	0.0	0.0	1.0
Node_73	0.9999993085908501	5.822648292321912e-07	1.0914432059898063e-07
Node_3	4.4049237755205775e-09	0.9999999914898764	4.1051998253168505e-09
Node_25	7.838594141431726e-14	0.9999999999998641	5.753395070850759e-14
ERR5412275	0.0	1.0	0.0
Node_67	6.521528511436357e-14	0.9999999999998758	5.897295918312915e-14
ERR5413336	0.0	1.0	0.0
ERR5412784	0.0	1.0	0.0
SRR25361571	1.0	0.0	0.0
SRR25361542	1.0	0.0	0.0
Node_1	3.472881353989394e-13	0.999999999999324	3.28769526615072e-13
Node_2	3.45300792354769e-13	0.9999999999993279	3.268881553005723e-13
Node_13	3.499752339917814e-13	0.9999999999993197	3.3039481641654613e-13
Node_24	2.861693451919161e-10	0.9999999994429372	2.708934895854867e-10
ERR5413092	0.0	1.0	0.0
ERR5412555	0.0	1.0	0.0
ERR340521	0.0	1.0	0.0
ERR374151	0.0	1.0	0.0
ERR343218	0.0	1.0	0.0
ERR374081	0.0	1.0	0.0
Node_11	3.947950434410168e-17	1.0	3.7368546881636163e-17
Node_12	3.456544025332826e-13	0.9999999999993271	3.272229352261639e-13
Node_18	4.906783155836897e-08	0.9999999044808169	4.645135171125338e-08
Node_23	7.336307379864756e-09	0.9999999857185984	6.945094221028753e-09
ERR363333	0.0	1.0	0.0
Node_10	1.6387415323891467e-12	0.9999999999968099	1.5513582640451824e-12
ERR5413999	0.0	1.0	0.0
ERR5413623	0.0	1.0	0.0
Node_16	8.794891562267043e-09	0.9999999828791903	8.325918058349985e-09
Node_17	1.1911393214183412e-12	0.9999999999976812	1.1276237252038638e-12
Node_21	3.143850195627965e-09	0.9999999938799403	2.9762094198824034e-09
Node_22	1.1882132700017594e-12	0.999999999997687	1.124853700791781e-12
Node_9	1.6911677940851969e-12	0.9999999999967079	1.600988980569512e-12
ERR337743	0.0	1.0	0.0
Node_14	1.7927637265745431e-13	0.9999999999996511	1.6971674727067233e-13
Node_15	1.454239610114711e-09	0.9999999971690658	1.376694612468984e-09
ERR374171	0.0	1.0	0.0
ERR340541	0.0	1.0	0.0
ERR5413240	0.0	1.0	0.0
Node_20	8.931519050091862e-11	0.9999999998261323	8.455260103586791e-11
ERR340512	0.0	1.0	0.0
ERR374142	0.0	1.0	0.0
ERR5413340	0.0	1.0	0.0
Node_8	2.4212018415503825e-13	0.9999999999995287	2.2920951319047484e-13
ERR5412682	0.0	1.0	0.0
ERR5413048	0.0	1.0	0.0
ERR5412659	0.0	1.0	0.0
ERR5413989	0.0	1.0	0.0
ERR5412642	0.0	1.0	0.0
Node_19	1.7299602616256542e-13	0.9999999999996633	1.637712901920538e-13
Node_7	1.8968630710312756e-13	0.9999999999996307	1.795715886378408e-13
ERR5412358	0.0	1.0	0.0
ERR340543	0.0	1.0	0.0
ERR374173	0.0	1.0	0.0
ERR5413968	0.0	1.0	0.0
Node_6	3.014010209518366e-17	1.0	2.853292943278341e-17
ERR5413906	0.0	1.0	0.0
Node_5	2.9205753968204625e-17	1.0	2.7648403922930992e-17
Node_4	2.9205605482607704e-17	1.0	2.7648263355090667e-17
ERR5414099	0.0	1.0	0.0
ERR5413226	0.0	1.0	0.0
ERR5412816	0.0	1.0	0.0
