node	Ireland	UK
Node_51	0.007653446781270339	0.9923465532187298
Node_3	0.0025810226423375	0.9974189773576625
Node_50	1.0736056410238653e-07	0.9999998926394358
Node_1	3.6359189155125735e-12	0.999999999996364
Node_2	0.0021353942037875546	0.9978646057962124
Node_5	2.350528150683572e-12	0.9999999999976495
Node_49	7.809260334314809e-11	0.9999999999219075
ERR5412293	0.0	1.0
SRR6045227	0.0	1.0
ERR5414053	0.0	1.0
ERR3198480	0.0	1.0
SRR6388694	0.0	1.0
Node_4	1.3710321655741423e-16	0.9999999999999998
Node_9	2.0706446212180853e-10	0.9999999997929356
Node_48	1.185006943807173e-10	0.9999999998814993
ERR5413089	0.0	1.0
ERR5412823	0.0	1.0
Node_6	0.9999999999777526	2.2247422552965592e-11
Node_8	5.0023201858521005e-11	0.9999999999499768
Node_21	1.3172647493344278e-08	0.9999999868273525
Node_47	4.872569209366056e-09	0.9999999951274308
ERR4020078	1.0	0.0
ERR4020083	1.0	0.0
Node_7	3.33257914377433e-12	0.9999999999966674
ERR5412363	0.0	1.0
Node_10	1.2195877548387735e-12	0.9999999999987803
Node_20	2.368782423560339e-08	0.9999999763121759
Node_34	1.0580446617440015e-07	0.9999998941955338
Node_46	5.911543713511415e-08	0.9999999408845629
ERR5413102	0.0	1.0
ERR5414138	0.0	1.0
SRR6044820	0.0	1.0
ERR5414206	0.0	1.0
Node_11	2.354961786099465e-13	0.9999999999997645
Node_19	2.4637914491023117e-07	0.9999997536208551
Node_24	0.0015463777552214848	0.9984536222447785
Node_32	0.0013259024616106923	0.9986740975383893
Node_37	0.002646418643372324	0.9973535813566278
Node_45	0.0003612740085728268	0.9996387259914272
SRR6388739	0.0	1.0
ERR5412220	0.0	1.0
Node_12	4.312135817547738e-12	0.9999999999956879
Node_18	5.874368899989178e-12	0.9999999999941256
Node_22	3.0205166945570173e-12	0.9999999999969794
Node_23	7.48581434900259e-12	0.9999999999925141
Node_30	0.001325987038801142	0.9986740129611988
ERR5412473	0.0	1.0
Node_35	4.713713625314484e-12	0.9999999999952863
Node_36	3.3944673143947774e-12	0.9999999999966056
Node_38	2.469103175619929e-12	0.999999999997531
Node_44	0.0006136606396810575	0.9993863393603188
ERR5412441	0.0	1.0
ERR5413329	0.0	1.0
ERR5412609	0.0	1.0
Node_17	1.7212081516221076e-16	0.9999999999999999
ERR5412996	0.0	1.0
SRR6045881	0.0	1.0
ERR374197	0.0	1.0
ERR340566	0.0	1.0
Node_26	6.033270346590929e-12	0.9999999999939667
Node_29	4.167008094150512e-12	0.9999999999958329
ERR5413507	0.0	1.0
SRR6045361	0.0	1.0
SRR6046595	0.0	1.0
ERR5412689	0.0	1.0
ERR340493	0.0	1.0
ERR374123	0.0	1.0
ERR5413673	0.0	1.0
Node_43	2.7503817764590675e-08	0.9999999724961822
Node_16	1.137492040224002e-16	0.9999999999999998
ERR5414187	0.0	1.0
ERR5412674	0.0	1.0
Node_25	1.7369808516112846e-16	0.9999999999999999
ERR5413527	0.0	1.0
Node_28	2.102393485702492e-12	0.9999999999978976
Node_40	2.7341786303643293e-13	0.9999999999997266
Node_42	1.207915078671979e-12	0.9999999999987921
ERR5413956	0.0	1.0
Node_15	1.1374862398650526e-16	0.9999999999999998
ERR5412325	0.0	1.0
ERR5412388	0.0	1.0
Node_27	4.2627609398067747e-08	0.9999999573723907
ERR5412344	0.0	1.0
Node_39	1.1646327653219487e-16	0.9999999999999998
ERR5412578	0.0	1.0
ERR5412235	0.0	1.0
Node_41	1.2574923818726936e-16	0.9999999999999998
ERR5414338	0.0	1.0
Node_14	1.1374862396950947e-16	0.9999999999999998
ERR5413557	0.0	1.0
ERR5412558	0.0	1.0
ERR5412232	0.0	1.0
ERR5412333	0.0	1.0
ERR5413227	0.0	1.0
ERR5414359	0.0	1.0
ERR5413186	0.0	1.0
Node_13	1.1374749366613036e-16	0.9999999999999998
ERR5413858	0.0	1.0
ERR5411997	0.0	1.0
