node	Australia	Canada	Spain	UK
root	0.10179774724766888	0.036746008095892825	0.04070427602442753	0.8207519686320107
n0	0.11355961151159162	0.026341536289741126	0.03466903692128626	0.825429815277381
n66	1.886853111163416e-05	8.840587482269683e-06	9.03232072009414e-06	0.999963258560686
SRR25361526	1.0	0.0	0.0	0.0
n00	0.1135542638624845	0.02634083237644865	0.03466867280476308	0.8254362309563038
n7	1.777147526091637e-05	8.326642302903015e-06	8.507210396659376e-06	0.9999653946720395
n17	0.002251225016066073	0.001140357171692963	0.0011403822764276994	0.9954680355358132
ERR5413680	0.0	0.0	0.0	1.0
n1	0.11355117769408879	0.02634079967854059	0.03466906203822321	0.8254389605891473
n77	1.776860016205872e-05	8.32681727039669e-06	8.506949729333124e-06	0.9999653976328382
n1313	1.79384318160088e-05	8.41159608792202e-06	8.592064040244346e-06	0.9999650579080558
n1717	5.120724739594366e-11	2.5941589506124713e-11	2.5941472195873357e-11	0.9999999998969097
n18	1.9029239787526994e-11	9.639753222167747e-12	9.639832164284059e-12	0.9999999999616912
n11	0.12783062096948775	0.03687766316041811	0.05013851660749009	0.7851531992626041
n55	0.0038727790018252164	0.0012758079504289021	0.0014590503014537436	0.9933923627462922
n8	6.052191964239855e-08	3.064471452632086e-08	3.064876477530909e-08	0.999999878184601
n12	1.814884376862969e-05	8.519623446670158e-06	8.699708364664681e-06	0.9999646318244201
n14	8.891282202473055e-07	4.504207650574472e-07	4.5042181389033067e-07	0.9999982100292008
n1414	1.0005185572417015e-11	5.066028481115258e-12	5.0666993145965e-12	0.999999999979862
ERR330763	0.0	0.0	0.0	1.0
ERR363249	0.0	0.0	0.0	1.0
ERR343207	0.0	0.0	0.0	1.0
n1818	2.4263709271156195e-15	1.2291915929372771e-15	1.229188123231164e-15	0.9999999999999951
SRR25361494	1.0	0.0	0.0	0.0
n2	0.1278283102841558	0.03688003676456206	0.0501420503303126	0.7851496026209697
ERR5413675	0.0	0.0	0.0	1.0
n6	0.003869734516912708	0.0012748310309879166	0.0014579223804442214	0.993397512071655
n88	6.408632144020563e-07	3.246461276874075e-07	3.2464870526608497e-07	0.9999987098419526
n1111	1.279197833355253e-12	6.477105273323818e-13	6.477959923813597e-13	0.9999999999974254
n1212	2.7936563781851583e-11	1.4151955577598657e-11	1.4152080235650295e-11	0.9999999999437594
n13	2.7926224167445023e-11	1.4146717136814501e-11	1.4146841923367718e-11	0.9999999999437803
ERR490689	0.0	0.0	0.0	1.0
ERR494896	0.0	0.0	0.0	1.0
n15	2.2359394474682175e-15	1.1326738698095499e-15	1.132682890471266e-15	0.9999999999999954
n1515	2.2360338187732517e-15	1.1327216760734972e-15	1.132730697115926e-15	0.9999999999999954
ERR374069	0.0	0.0	0.0	1.0
ERR374070	0.0	0.0	0.0	1.0
n22	9.520316376402685e-11	4.500252668317431e-11	4.6537692517120646e-11	0.9999999998132567
n3	0.04687736610082091	0.18727381091725587	0.31422656005911426	0.4516222629228089
ERR494881	0.0	0.0	0.0	1.0
ERR5412610	0.0	0.0	0.0	1.0
ERR5414215	0.0	0.0	0.0	1.0
n9	1.829539634246579e-07	9.268463853606818e-08	9.268417457598966e-08	0.9999996316772234
ERR343205	0.0	0.0	0.0	1.0
ERR374067	0.0	0.0	0.0	1.0
ERR5411992	0.0	0.0	0.0	1.0
ERR5412091	0.0	0.0	0.0	1.0
ERR494889	0.0	0.0	0.0	1.0
ERR494890	0.0	0.0	0.0	1.0
ERR374110	0.0	0.0	0.0	1.0
ERR374113	0.0	0.0	0.0	1.0
n16	2.0248506808661914e-15	1.0257911348983368e-15	1.0257859995191214e-15	0.9999999999999959
n1616	2.0248506808661914e-15	1.0257911348983368e-15	1.0257859995191214e-15	0.9999999999999959
SRR6388736	0.0	0.0	0.0	1.0
ERR5412775	0.0	0.0	0.0	1.0
n33	4.502474420122067e-08	5.6124055830908816e-08	8.19875764594584e-08	0.9999998168636235
n44	0.04687576256248577	0.18728431070624896	0.31424529218393404	0.4515946345473312
n99	3.86292021575544e-12	1.956958773614956e-12	1.9569489774843674e-12	0.9999999999922232
ERR5414256	0.0	0.0	0.0	1.0
ERR343239	0.0	0.0	0.0	1.0
ERR374116	0.0	0.0	0.0	1.0
ERR343242	0.0	0.0	0.0	1.0
ERR351979	0.0	0.0	0.0	1.0
ERR5412965	0.0	0.0	0.0	1.0
n4	9.040685573338909e-08	7.904422890215308e-08	1.0485294493159618e-07	0.9999997256959705
n5	1.0905497963681848e-11	0.9999999999083911	1.9126809675073603e-11	6.157671903830107e-11
ERR3198387	0.0	0.0	1.0	0.0
n10	2.1063658070327493e-15	1.0670867705598589e-15	1.0670814281531888e-15	0.9999999999999958
ERR5413580	0.0	0.0	0.0	1.0
ERR5412761	0.0	0.0	0.0	1.0
ERR5413512	0.0	0.0	0.0	1.0
SRR26727918	0.0	1.0	0.0	0.0
SRR26727900	0.0	1.0	0.0	0.0
n1010	2.0248479445272204e-15	1.0257897498277344e-15	1.0257846141454095e-15	0.9999999999999959
ERR5412272	0.0	0.0	0.0	1.0
ERR5413640	0.0	0.0	0.0	1.0
ERR5413047	0.0	0.0	0.0	1.0
