node	Canada	Germany	UK	USA
root	0.16149611901826813	0.15395252667432516	0.4106928231555684	0.27385853115183834
n0	0.16149662826910427	0.15395307940909897	0.41068952727399716	0.27386076504779955
n1212	1.2239944657753102e-11	1.1342102467567405e-11	0.9999999999623048	1.4113163376525471e-11
n00	0.9999999999717186	6.22649285721799e-12	1.4439711862426176e-11	7.615199216258479e-12
n3	0.16149378764835093	0.1539543314085111	0.41068777901437975	0.27386410192875815
ERR343204	0.0	0.0	1.0	0.0
ERR374066	0.0	0.0	1.0	0.0
SRR26728090	1.0	0.0	0.0	0.0
n1	0.999999999996718	7.399623059737909e-13	1.6855750367207322e-12	8.564332453260662e-13
n33	0.005682542159098549	0.005265373983939826	0.9825072533190878	0.006544830537873778
n9	0.1614918928797267	0.15395669582330287	0.41068214145025755	0.27386926984671284
SRR26728069	1.0	0.0	0.0	0.0
n11	0.999999999998474	3.537258377241513e-13	7.892296542312974e-13	3.830434238956801e-13
n4	2.601293792816658e-12	2.401486469635864e-12	0.9999999999921813	2.8160557452357737e-12
n44	4.393350415138964e-08	4.048541392500205e-08	0.9999998695171974	4.606388463556522e-08
n99	6.22774601210003e-08	5.804165357676492e-08	1.3934870675023495e-07	0.9999997403321795
ERR7253725	0.0	1.0	0.0	0.0
n2	0.9999999999995076	1.1413045601827644e-13	2.546467651891362e-13	1.2358984270083985e-13
n22	1.0	1.2983194807865639e-17	2.896797818028469e-17	1.4059270943432794e-17
ERR343175	0.0	0.0	1.0	0.0
ERR374037	0.0	0.0	1.0	0.0
n5	2.1302972550683573e-13	1.9631008728277333e-13	0.9999999999993674	2.2335670512839298e-13
n55	9.511795721637673e-13	8.740299385358117e-13	0.9999999999972283	9.46472066031521e-13
SRR29263889	0.0	0.0	0.0	1.0
n10	1.016839675563912e-09	9.343662675915636e-10	2.084772021130192e-09	0.999999995964022
SRR26727916	1.0	0.0	0.0	0.0
SRR26728004	1.0	0.0	0.0	0.0
SRR26727986	1.0	0.0	0.0	0.0
SRR26727938	1.0	0.0	0.0	0.0
ERR363376	0.0	0.0	1.0	0.0
ERR337786	0.0	0.0	1.0	0.0
n6	6.017563379521252e-17	5.5294820644145786e-17	0.9999999999999998	5.987778147377475e-17
n77	6.017563379521252e-17	5.5294820644145786e-17	0.9999999999999998	5.987778147377475e-17
SRR29263890	0.0	0.0	0.0	1.0
n1010	4.4118805581439636e-13	4.054043546153966e-13	9.045442178785077e-13	0.9999999999982488
n66	5.556492006527584e-17	5.1058079280133626e-17	0.9999999999999999	5.528988674000638e-17
ERR363362	0.0	0.0	1.0	0.0
ERR337773	0.0	0.0	1.0	0.0
n8	5.556492006527584e-17	5.1058079280133626e-17	0.9999999999999999	5.528988674000638e-17
SRR29263912	0.0	0.0	0.0	1.0
n1111	1.0156155341093905e-09	9.332395051293201e-10	2.082234931403054e-09	0.9999999959689101
n7	5.556462835502721e-17	5.105781123034555e-17	0.9999999999999999	5.528959647364061e-17
ERR337771	0.0	0.0	1.0	0.0
ERR337772	0.0	0.0	1.0	0.0
n88	5.556462835502721e-17	5.105781123034555e-17	0.9999999999999999	5.528959647364061e-17
n12	1.145774732469743e-13	1.052841560086615e-13	2.34908986510798e-13	0.9999999999995453
SRR29263888	0.0	0.0	0.0	1.0
ERR363361	0.0	0.0	1.0	0.0
ERR337774	0.0	0.0	1.0	0.0
ERR363363	0.0	0.0	1.0	0.0
ERR363364	0.0	0.0	1.0	0.0
SRR29263913	0.0	0.0	0.0	1.0
SRR29263914	0.0	0.0	0.0	1.0
