node	Australia	China	Singapore	Taiwan	UK	USA
root	0.0020709553774791484	0.0016317405741423459	0.9038046904262625	0.02864220920216171	0.06199862174280385	0.0018517826771503717
n0	0.022167856933681344	0.02196778887043911	0.7448798579510052	0.04113032745425081	0.1478446821253263	0.022009486665297204
n2	0.0020678846052197093	0.001628638381949339	0.9038288985316026	0.02864029879934888	0.061985577049039	0.0018487026328403602
n00	4.913105182984626e-11	4.911919855235273e-11	2.398731538303722e-10	4.9210927870834497e-11	0.9999999995635399	4.9125742754358843e-11
n11	1.0006203167578026e-11	0.9999999998724795	4.834800672280453e-11	1.0007446226903328e-11	4.915364651656017e-11	1.0005245723410974e-11
n22	4.290857809361591e-07	4.0777541171687923e-07	0.9999924174251228	1.7137988110232289e-06	4.613457173462493e-06	4.184577000150214e-07
n33	0.0020675021619692524	0.0016281892214849818	0.9038212723405261	0.028643740306474718	0.0619910072573532	0.0018482887121916863
n1	1.5274374405869205e-15	1.5270815723539419e-15	7.41610357494678e-15	1.5286922378259037e-15	0.9999999999999865	1.527282510483448e-15
ERR5414281	0.0	0.0	0.0	0.0	1.0	0.0
SRR32604914	0.0	1.0	0.0	0.0	0.0	0.0
SRR32604903	0.0	1.0	0.0	0.0	0.0	0.0
SRR14719315	0.0	0.0	1.0	0.0	0.0	0.0
n3	6.507328227853446e-08	6.184205123444679e-08	0.9999988501672057	2.598705213184558e-07	6.995851628023167e-07	6.346177662405417e-08
n4	0.002069183474812057	0.001629465387680639	0.9037881575512984	0.0286695300305605	0.06199389236987029	0.0018497711857781353
n7	0.0020676120176731714	0.0016283933636855774	0.9038115538209734	0.028638138776505707	0.06200585639550029	0.0018484456256617208
ERR5412496	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413754	0.0	0.0	0.0	0.0	1.0	0.0
SRR14719254	0.0	0.0	1.0	0.0	0.0	0.0
SRR14719299	0.0	0.0	1.0	0.0	0.0	0.0
DRR317496	0.0	0.0	0.0	1.0	0.0	0.0
n44	0.006827857975334675	0.005127207689632072	0.8775990353758879	0.027444506183211453	0.07701243060068202	0.005988962175251888
n77	0.00699684591828762	0.006667033215763646	0.7520877101908624	0.026874869630657126	0.2005411744630248	0.006832366581404495
n1111	0.0020681091366297746	0.0016289437330444115	0.9038123968599553	0.02863540435000981	0.06200617659127458	0.0018489693290862674
n5	0.014361259731068193	0.010359218501343756	0.8259207767976565	0.02956979321319401	0.10739790795333637	0.012391043803401263
SRR14719121	0.0	0.0	1.0	0.0	0.0	0.0
n8	4.583328134198996e-11	4.5686761366012115e-11	5.193917377432852e-10	5.4083471954607756e-11	0.9999999992892438	4.5760951965653896e-11
n1010	0.006998710650833995	0.006668918168103957	0.752065797768342	0.02687548453034396	0.20055684744493135	0.006834241437444664
SRR6388707	0.0	0.0	0.0	0.0	1.0	0.0
n12	0.0031174910176362757	0.002806247374120248	0.9171756712911945	0.021923714977734363	0.05201466361278405	0.0029622117265306275
n55	0.09580042656214229	0.03385631317250441	0.327513060333396	0.037924780939141305	0.4395675875476624	0.06533783144515365
SRR14719180	0.0	0.0	1.0	0.0	0.0	0.0
n88	1.4762288393092751e-15	1.473780304543738e-15	1.175987294883754e-14	1.6044465514638392e-15	0.9999999999999821	1.4750324411603457e-15
ERR330879	0.0	0.0	0.0	0.0	1.0	0.0
SRR14719311	0.0	0.0	1.0	0.0	0.0	0.0
ERR5413513	0.0	0.0	0.0	0.0	1.0	0.0
n1212	1.9734048531606542e-11	1.9575712397536535e-11	0.999999999796856	2.905452092471321e-11	1.151243093850668e-10	1.9655369430683543e-11
SRR14719287	0.0	0.0	1.0	0.0	0.0	0.0
n6	0.0957958998726325	0.033856148104410115	0.32750071350737037	0.0379243299067453	0.4395831787573191	0.06533972985152257
SRR25361553	1.0	0.0	0.0	0.0	0.0	0.0
n9	7.639889261670529e-16	7.638172136052513e-16	3.68878052837193e-15	7.640044983753123e-16	0.9999999999999932	7.63916477666852e-16
ERR330880	0.0	0.0	0.0	0.0	1.0	0.0
n13	1.0395147488852636e-15	1.036930466642761e-15	0.9999999999999902	1.181888448522157e-15	5.384012919247974e-15	1.038243029581241e-15
n1313	1.0395147488852636e-15	1.036930466642761e-15	0.9999999999999902	1.181888448522157e-15	5.384012919247974e-15	1.038243029581241e-15
SRR30795409	0.0	0.0	0.0	0.0	0.0	1.0
n66	7.179141942838874e-11	4.8667585461851507e-11	2.962346802097171e-10	5.019455858006578e-11	0.9999999994726898	6.042184847980095e-11
n99	7.639778575620146e-16	7.63806180381138e-16	3.688655103830579e-15	7.639914375685313e-16	0.9999999999999932	7.639054265275456e-16
ERR369214	0.0	0.0	0.0	0.0	1.0	0.0
SRR14719247	0.0	0.0	1.0	0.0	0.0	0.0
SRR14719190	0.0	0.0	1.0	0.0	0.0	0.0
SRR14719191	0.0	0.0	1.0	0.0	0.0	0.0
SRR14719188	0.0	0.0	1.0	0.0	0.0	0.0
ERR5414121	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412779	0.0	0.0	0.0	0.0	1.0	0.0
ERR369217	0.0	0.0	0.0	0.0	1.0	0.0
n10	7.639659853817364e-16	7.637943108692276e-16	3.6885977811837564e-15	7.639795651462657e-16	0.9999999999999932	7.638935554730923e-16
ERR330882	0.0	0.0	0.0	0.0	1.0	0.0
ERR369215	0.0	0.0	0.0	0.0	1.0	0.0
