node	Argentina	Czech Republic	Germany	Norway	UK	USA
root	0.09387993949462156	0.07802704477210436	0.15227548633063878	0.1360953006540111	0.2975760528667038	0.24214617588192047
n0	0.05235706887374482	0.05234930219698496	0.10469187961015126	0.05237772958799001	0.586085689294763	0.15213833043636604
n8	0.0990005378374049	0.052344406861940786	0.09358464902391296	0.2232432461514207	0.33440489375739874	0.19742226636792184
n00	1.1985040346397395e-07	1.1984814900151723e-07	2.396845960169258e-07	1.1985635770213582e-07	0.9999990524710753	3.4828941845360606e-07
ERR5413952	0.0	0.0	0.0	0.0	1.0	0.0
SRR32240713	1.0	0.0	0.0	0.0	0.0	0.0
n88	0.09899469421855263	0.052343179313953575	0.09358166605970675	0.2232501481005316	0.3344094581315947	0.1974208541756609
n1	3.023192253571458e-10	3.023135409369519e-10	6.045975645176386e-10	3.0233423836987604e-10	0.9999999976098852	8.785501316609727e-10
n77	1.6434419787423907e-12	1.643441789372646e-12	3.2867304223500073e-12	1.6434418073674844e-12	0.9999999999870071	4.775958694842404e-12
n9	0.05908502530586028	0.04011188584892411	0.07570574703100115	0.393909634637571	0.1933786775601553	0.23780902961648812
n1111	0.035585466305770065	0.047367678163627545	0.058581812965557235	0.05742270916553969	0.71349200368255	0.08755032971695553
n11	1.017955612205481e-08	1.0179549379703439e-08	2.0358148777150797e-08	1.0179569891525283e-08	0.9999999195206761	2.9582499710055626e-08
n4	4.180847486003803e-15	4.180779391301846e-15	8.361153080631194e-15	4.181027099664696e-15	0.999999999999967	1.2149707836300911e-14
ERR330920	0.0	0.0	0.0	0.0	1.0	0.0
ERR369255	0.0	0.0	0.0	0.0	1.0	0.0
n99	0.051978329896775255	0.04811653144311212	0.09530974065668817	0.12012854838408922	0.16113274910125522	0.52333410051808
n10	0.05240737164919871	0.0369994263960777	0.07032938636502481	0.44311800216152114	0.17052817176077556	0.22661764166740206
ERR7253781	0.0	0.0	1.0	0.0	0.0	0.0
n12	0.03558176055390268	0.04736637071912419	0.05857716604448746	0.05741590950786848	0.7135169850828486	0.08754180809176863
n2	1.7026213068410474e-12	1.7026211198112096e-12	3.405083570338192e-12	1.7026211049052035e-12	0.9999999999865391	4.947938028077111e-12
n33	3.3777835782547407e-12	3.377783207246593e-12	6.755251634872969e-12	3.3777831775460756e-12	0.9999999999732954	9.816078155738427e-12
n44	5.625346612650768e-16	5.625345986697817e-16	1.125016773881472e-15	5.625345966822117e-16	0.9999999999999954	1.6347655399116312e-15
ERR330841	0.0	0.0	0.0	0.0	1.0	0.0
SRR12574849	0.0	0.0	0.0	0.0	0.0	1.0
SRR30795578	0.0	0.0	0.0	0.0	0.0	1.0
ERR5384760	0.0	0.0	0.0	1.0	0.0	0.0
n1010	4.493933922712196e-11	4.385128935871006e-11	8.743961311314182e-11	7.252970238429491e-11	1.3773528729236764e-10	0.9999999996135047
n1212	5.758372550071563e-11	7.095090386543546e-11	1.0088924964286896e-10	8.235000768076365e-11	0.9999999995388751	1.4935104074868266e-10
n13	0.045650162383778906	0.07860139437857738	0.08729748634921586	0.0624802890751429	0.6055342264005285	0.12043644141275658
ERR369245	0.0	0.0	0.0	0.0	1.0	0.0
n22	1.7014101729462945e-12	1.7014099860716836e-12	3.4026614157314202e-12	1.701409971094984e-12	0.9999999999865488	4.9444183872986675e-12
ERR369181	0.0	0.0	0.0	0.0	1.0	0.0
ERR330846	0.0	0.0	0.0	0.0	1.0	0.0
ERR330898	0.0	0.0	0.0	0.0	1.0	0.0
n5	5.624913549077638e-16	5.624912931267001e-16	1.1249301670235697e-15	5.62491288174456e-16	0.9999999999999954	1.6346396901384322e-15
SRR10147626	0.0	0.0	0.0	0.0	0.0	1.0
SRR900462	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412857	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413955	0.0	0.0	0.0	0.0	1.0	0.0
ERR7253724	0.0	0.0	1.0	0.0	0.0	0.0
SRR27279526	0.0	1.0	0.0	0.0	0.0	0.0
ERR330910	0.0	0.0	0.0	0.0	1.0	0.0
n3	1.6438669633977285e-12	1.6438667828441363e-12	3.287580371795756e-12	1.643866768371219e-12	0.9999999999870036	4.777193747480691e-12
ERR369233	0.0	0.0	0.0	0.0	1.0	0.0
n55	5.624980865893706e-16	5.624980248075766e-16	1.1249436297579895e-15	5.624980198552366e-16	0.9999999999999954	1.6346592528816724e-15
ERR337825	0.0	0.0	0.0	0.0	1.0	0.0
ERR369264	0.0	0.0	0.0	0.0	1.0	0.0
n6	5.624913543088617e-16	5.62491292527807e-16	1.1249301658258394e-15	5.624912875755262e-16	0.9999999999999954	1.6346396883980066e-15
n7	5.624846221089281e-16	5.62484560328613e-16	1.124916702054833e-15	5.624845553763915e-16	0.9999999999999954	1.6346201241484991e-15
n66	5.6248462202835365e-16	5.624845602480431e-16	1.1249167018936915e-15	5.624845552958169e-16	0.9999999999999954	1.6346201239143305e-15
ERR369172	0.0	0.0	0.0	0.0	1.0	0.0
ERR369235	0.0	0.0	0.0	0.0	1.0	0.0
ERR330900	0.0	0.0	0.0	0.0	1.0	0.0
ERR369176	0.0	0.0	0.0	0.0	1.0	0.0
ERR330837	0.0	0.0	0.0	0.0	1.0	0.0
