node	China	Ireland	UK
root	0.16615646690252656	0.4985412218194357	0.3353023112780378
n0	0.002678967363936177	0.9928339474355691	0.004487085200494748
n1	0.21501118162470936	0.26016277027157275	0.5248260481037179
ERR4020093	0.0	1.0	0.0
n00	1.1989727555348122e-08	0.9999999689114498	1.909882262965314e-08
SRR18969517	1.0	0.0	0.0
n11	0.00966113761210854	0.011502749729530675	0.9788361126583608
ERR4020067	0.0	1.0	0.0
ERR459967	0.0	1.0	0.0
ERR114974	0.0	0.0	1.0
n2	0.001214790763767462	0.001434010175985971	0.9973511990602466
ERR115104	0.0	0.0	1.0
n22	8.02785411372233e-13	9.3361222963664e-13	0.9999999999982635
ERR114986	0.0	0.0	1.0
ERR115102	0.0	0.0	1.0
