node	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Singapore	South Korea	Spain	Taiwan	UK	USA
root	0.0030460924400701364	0.0018352766489588349	0.06482523323179849	0.0005078143535103811	0.0008417193769824909	0.0013990593500316979	0.0011547080252309794	0.010238712854200116	0.0017622884325414355	0.17264546467429456	0.0005756020749313599	0.001932701940683741	0.10867229209687758	0.6063965183112845	0.024166516188603628
n0	0.012920679439818925	0.006639988614776798	0.027270523727467737	0.002153338582526609	0.04823865129955228	0.010681594094951681	0.0022862115551149304	0.007355483835920786	0.0066005334634017645	0.05103861745919723	0.004221091871317372	0.0045906858557399075	0.031135032043134184	0.7632274930436147	0.021640075113465093
n4	0.003037304627404047	0.0018308753058361399	0.06483151492598165	0.0005063498585833148	0.0008332246369380887	0.0013913185644640303	0.0011534148911656174	0.010237326199102132	0.0017578868454987974	0.1726790422410651	0.0005725527795338293	0.0019299412463365869	0.10869420128103628	0.6063851424629576	0.024159904134096872
n00	4.4861760662778216e-11	2.2871743391036066e-11	5.511109466382215e-11	7.476478257995845e-12	0.9999999993642206	3.7845902404176794e-11	7.520659009139342e-12	1.977537423500588e-11	2.277791145026296e-11	6.836446945044377e-11	1.494032565017672e-11	1.5362942073683224e-11	3.9431614532869784e-11	2.172228502313678e-10	6.22162145625765e-11
n1	3.829406533759908e-05	1.959750853754998e-05	6.308846445976405e-05	6.381976255131182e-06	7.467210811866997e-05	3.199780538248195e-05	6.588829286744092e-06	1.9217114313085615e-05	1.9499914248902872e-05	0.00010248777138623574	1.2637808337393565e-05	1.3347504251464966e-05	6.150199608681914e-05	0.9994723408299716	5.8346304026583e-05
n44	0.00305076307325673	0.0015788664303357331	0.009426701948618462	0.0005075371313754268	0.0005386067821472852	0.002460320080241422	0.0005704698573913772	0.0021704383074075263	0.0015662961707836379	0.26765222263624794	0.0009733390038510884	0.0011256751122861264	0.012542719377747301	0.6897564469976726	0.006079597090637325
n43	0.003034422111677345	0.0018296071846353541	0.06487143252405544	0.0005058697923856546	0.0008288724712751283	0.0013880549778074998	0.0011533900804505048	0.01024238507645978	0.001756577356564364	0.17267904530770378	0.0005712810151454717	0.001929587421560068	0.10876707796398646	0.6062723008549847	0.024170095861308416
ERR363475	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR363422	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n11	3.749306715898478e-05	1.9187513376040986e-05	6.175294703439271e-05	6.248484212556813e-06	7.304898349897045e-05	3.132881088167263e-05	6.450842949875183e-06	1.8812834567774838e-05	1.909197780416145e-05	0.00010030031645532004	1.23735770868435e-05	1.306808261464164e-05	6.018797673064253e-05	0.9994835339020703	5.712068355771566e-05
ERR5412101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n5	4.5726492864881233e-10	2.330453610936419e-10	5.445753073189951e-10	7.620539627393035e-11	7.622184406777868e-11	3.860805264870483e-10	7.647488051450029e-11	1.9906588500876386e-10	2.3210767028984817e-10	7.772637484459226e-10	1.5240538993979038e-10	1.5633990883762627e-10	3.7214581361489255e-10	0.9999999956322534	6.285500357849236e-10
n77	0.003046565567567979	0.0015766777334802096	0.009411269164282103	0.0005068371668817146	0.000537850985596956	0.0024569739875018246	0.0005696574625811602	0.0021670907845247746	0.0015641274624196273	0.2676994745245427	0.0009720141195979111	0.0011240872437645395	0.012521200947975515	0.6897757543318002	0.006070418517482997
n4343	0.00305546829345422	0.001834186060540236	0.06515212001223512	0.0005074347131997709	0.0008302013873967879	0.001396843264578232	0.0011544879012706716	0.010239943451851825	0.0017611858735935018	0.17270154640241447	0.0005747331070321256	0.0019321452346571033	0.10873333457572168	0.6058876837650184	0.024238685957035877
n49	0.0030320532327259312	0.0018310450118184628	0.06481620805870007	0.0005062039755148135	0.0008269211033597071	0.0013880191823167879	0.0011546756726981801	0.010256385663339154	0.001757912764351964	0.1726451908365162	0.0005713012527728622	0.001931585297383791	0.10886231272980301	0.6062576049370052	0.02416258028169398
ERR5413519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2	2.4099667338418353e-11	1.228412886208282e-11	2.9056907863256718e-11	4.016350890574276e-12	5.9946296553479146e-12	2.0341274863165812e-11	4.034300885300144e-12	1.0543391061036863e-11	1.2234320884899549e-11	3.521617825859645e-11	8.029861375775154e-12	8.244957739832782e-12	2.023049240965857e-11	0.9999999997724301	3.324332127917792e-11
ERR5413013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
