node	Brazil	China	Germany	Japan	Netherlands	Norway	Taiwan	UK
root	0.11225032545516175	0.052408288302984	0.06252302105355738	0.06010106607390706	0.04239197276691221	0.24696483760656718	0.10098375162493547	0.32237673711597487
ERR5384819	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n0	0.1122531013650332	0.052408480066658984	0.06252364959966822	0.060101590032202036	0.04239173199719736	0.24695720802529994	0.10098604101198297	0.32237819790195726
DRR317483	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n00	0.13494308028060079	0.054268108293483476	0.0679041046684832	0.04410998817839011	0.04076478433173117	0.2022143579422175	0.11975424461530765	0.336041331689786
SRR13997851	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	0.10071921789714443	0.05832556821918206	0.07540714741656315	0.036146505691724555	0.04141018135909713	0.18475985796959407	0.14035892569128766	0.362872595755407
n11	0.032035166097355204	0.02597995981340562	0.34160514325566954	0.02281206456228808	0.023563892909987755	0.3583081329018712	0.03769703334066482	0.1579986071187578
n3	0.08853791920634091	0.06219073729210322	0.06697148676923599	0.03352056947694069	0.04299833703866718	0.162773293949793	0.15526675583098296	0.38774090043593606
n2	1.3182919730610371e-11	1.2265285383708391e-11	6.009678494419496e-11	1.1785209437175107e-11	1.1899146205082618e-11	0.9999999998026878	1.4040952410697009e-11	7.404189993671778e-11
ERR7253747	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n33	0.04956921329119379	0.1227433900380635	0.040930731917044834	0.027531894526068208	0.031328238191914055	0.09293276400166461	0.35862674658869487	0.2763370214453562
n44	0.025815683417222166	0.020748016298310735	0.02166755461532007	0.015233541434014088	0.0731474253284758	0.04858342125259424	0.03865044784664634	0.7561539098074166
ERR5384809	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n22	2.9320850714959554e-13	2.825527346203026e-13	8.379856846218483e-13	2.769780162499612e-13	2.7830109492035183e-13	0.9999999999960252	3.0317228597057947e-13	1.7027160476713292e-12
ERR5413520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n4	0.017857783754321628	0.19025336455743921	0.015598174582675877	0.012093376238978779	0.013086405268682304	0.03392698455541041	0.6154749200953475	0.10170899094714418
ERR5413500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n5	0.025812719526921282	0.020745771836159742	0.021665179611483915	0.015232079830774268	0.07314943624518833	0.048577902477628145	0.03864566187818502	0.7561712485936593
ERR5384806	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERR5384820	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
DRR317519	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR32604911	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR2759449	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n55	0.0001331803280181773	0.00011366221275016038	0.00011720381320922683	9.242321703171148e-05	0.0003155236978353891	0.00025348072074657916	0.00018261346132930566	0.9987919125490794
ERR5412926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n6	0.00013286381350354439	0.00011339466015188977	0.00011692737637452101	9.220894324183424e-05	0.0003147497682963979	0.0002528794075446162	0.00018217294199152805	0.9987948030888957
n66	0.00013281887559429974	0.00011336414246214327	0.00011689424210670976	9.219411717755308e-05	0.00031457011315871083	0.0002527972407464544	0.00018209148236481527	0.9987952697863893
n16	0.00013356817832083488	0.00011410040533113405	0.00011763287107322787	9.291619046978318e-05	0.00031544124084559105	0.0002542649225376259	0.00018287381184873349	0.9987892023795731
ERR484957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n7	8.035833714045885e-07	7.552900455182819e-07	7.640529572206239e-07	7.027387640703908e-07	1.2547546145725184e-06	1.5592752305062466e-06	9.258955953939298e-07	0.9999932344094211
ERR3198440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1616	0.0014676427232788094	0.0014672973160816565	0.001467359968024125	0.0014669214189374784	0.0014708766629669971	0.002885531566625288	0.001468519693867369	0.9883058506502183
n77	7.713986849307077e-07	7.250916818429416e-07	7.334941716519855e-07	6.747018544984708e-07	1.204013088031958e-06	1.4968463493616603e-06	8.886801620677295e-07	0.9999935057740076
n1515	8.522042630311143e-12	8.522011383665876e-12	8.522016920401526e-12	8.521977172937073e-12	8.522375573773856e-12	1.6756030966522093e-11	8.522134358184977e-12	0.9999999999321113
n17	7.69547334940981e-12	7.69426390687e-12	7.694483242599972e-12	7.692947641113035e-12	7.706809290714914e-12	1.5130324280957226e-11	7.698547836998635e-12	0.999999999938687
n1717	1.2201020023628798e-11	1.2200853063633126e-11	1.2200883168407518e-11	1.2200671083672815e-11	1.2202638545223281e-11	2.398957985571948e-11	1.220146090388793e-11	0.999999999902803
n8	7.977667249029698e-07	7.515222374982708e-07	7.599133832952115e-07	7.012004370853585e-07	1.2297972190444074e-06	1.5487180384181028e-06	9.148899094280873e-07	0.9999932961920502
n99	8.474036325534966e-07	8.011196817614799e-07	8.095179874971254e-07	7.507549373271973e-07	1.2798030417303761e-06	1.646297210095361e-06	9.64626838132154e-07	0.9999929004766709
ERR374170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR340540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR330862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR369197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n18	7.213207276118315e-16	7.213184787644266e-16	7.213188755623127e-16	7.213160139396458e-16	7.213452097228204e-16	1.4182602013810344e-15	7.213274888768115e-16	0.9999999999999942
n1818	7.21331414254697e-16	7.213291653739746e-16	7.213295621777335e-16	7.213267005126823e-16	7.213558967283919e-16	1.4182812134491626e-15	7.213381756198477e-16	0.9999999999999942
n88	2.4008274348088354e-12	2.4006841475165128e-12	2.400710109815153e-12	2.400528167926801e-12	2.4021776166881253e-12	4.7204465656026735e-12	2.4011938811504966e-12	0.9999999999808735
n9	6.175878336658108e-12	6.175831075194878e-12	6.175839554477173e-12	6.17577949522302e-12	6.176349598429849e-12	1.2142994712421356e-11	6.17600715855629e-12	0.9999999999508012
n10	8.53906023977244e-12	8.539030534111794e-12	8.53903579096695e-12	8.538997999815864e-12	8.539378868934696e-12	1.6789491660047504e-11	8.53914808998331e-12	0.9999999999319757
n1010	1.137837185917836e-08	1.137822014095465e-08	1.1378247492919766e-08	1.137805476679307e-08	1.137984402791838e-08	2.2372095176012656e-08	1.1378772921687062e-08	0.9999999093563936
ERR369301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR369335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR337873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n19	5.405813226241379e-16	5.405815472089229e-16	5.405814980188241e-16	5.405817783295842e-16	5.405818271765244e-16	1.0628913568328315e-15	5.405815524787106e-16	0.9999999999999957
ERR369247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR330912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR340558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR374188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5411999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1111	1.1590672201466518e-05	1.1590677008369432e-05	1.1590675955211281e-05	1.1590681954664149e-05	1.1590683098558512e-05	2.278958740390427e-05	1.1590677151202594e-05	0.9999076663452265
n14	1.6911363648255886e-13	1.6911138901400761e-13	1.691117941819007e-13	1.6910893924029952e-13	1.6913544706355376e-13	3.3251034983734437e-13	1.6911957842586408e-13	0.9999999999986529
ERR369312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1919	5.405706360999135e-16	5.405708607180148e-16	5.405708115220385e-16	5.405710918751928e-16	5.405711402896056e-16	1.062870344997986e-15	5.405708658543144e-16	0.9999999999999957
ERR490702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n12	2.436428419322623e-12	2.4364294316793183e-12	2.436429209951328e-12	2.4364304735060284e-12	2.4364306920469015e-12	4.79050718197535e-12	2.4364294549314356e-12	0.9999999999805909
n1414	5.430760914254578e-16	5.430762827474926e-16	5.43076239554048e-16	5.430764776114727e-16	5.430769187373716e-16	1.0677965581891547e-15	5.430764092093399e-16	0.9999999999999957
