node	Germany	UK	USA
Node_17	0.19477010020275431	0.2247017550697057	0.58052814472754
Node_1	0.24185219511328182	0.14901067482817856	0.6091371300585395
Node_16	0.15417780861595246	0.24819340712940988	0.5976287842546375
ERR7253785	1.0	0.0	0.0
SRR12051736	0.0	0.0	1.0
Node_7	5.969059020657123e-08	7.253247559498611e-08	0.9999998677769342
Node_15	2.0260359387519518e-08	0.9999999330018144	4.673782616180415e-08
Node_6	2.428582703568317e-05	2.6069710459559778e-05	0.9999496444625048
SRR350465	0.0	0.0	1.0
Node_11	5.557408457606071e-10	0.9999999982715094	1.172749748098473e-09
Node_14	2.3953888129321536e-14	0.9999999999999207	5.5257962519316313e-14
Node_2	1.0577311952955364e-09	1.1354194066406614e-09	0.9999999978068493
Node_5	5.291424019892538e-14	5.6800720826763246e-14	0.9999999999998902
SRR6388774	0.0	1.0	0.0
Node_10	8.406641040128667e-10	0.9999999973853388	1.7739971538308339e-09
Node_12	1.5675973029714889e-18	1.0	3.3135634707505325e-18
Node_13	1.5675973029714889e-18	1.0	3.3135634707505325e-18
SRR315392	0.0	0.0	1.0
SRR315387	0.0	0.0	1.0
Node_4	6.07158773946522e-18	6.517533065291775e-18	1.0
SRR315378	0.0	0.0	1.0
Node_9	9.953938971401973e-16	0.9999999999999968	2.100513072983853e-15
ERR5413850	0.0	1.0	0.0
ERR337770	0.0	1.0	0.0
ERR363360	0.0	1.0	0.0
ERR337769	0.0	1.0	0.0
ERR363359	0.0	1.0	0.0
Node_3	5.948611876994517e-18	6.385524789138584e-18	1.0
SRR901247	0.0	0.0	1.0
Node_8	1.540455209523784e-18	1.0	3.2507194541101443e-18
ERR5412063	0.0	1.0	0.0
SRR315379	0.0	0.0	1.0
SRR315384	0.0	0.0	1.0
ERR5413703	0.0	1.0	0.0
ERR5412001	0.0	1.0	0.0
