node	Australia	Singapore	UK
root	0.11550137942900979	0.7739395392709881	0.110559081300002
n0	0.049726850859891064	0.7702259585753216	0.18004719056478743
n1	0.1155013822345013	0.7739395368491213	0.11055908091637742
n00	2.9980421481943753e-10	2.358161761177628e-09	0.999999997342034
SRR14719264	0.0	1.0	0.0
n11	0.11517797110022983	0.7745525550378253	0.11026947386194483
n4	0.9999939934168995	5.255780798117148e-06	7.508023023955498e-07
ERR5412176	0.0	0.0	1.0
ERR5413548	0.0	0.0	1.0
n2	0.11512929062213209	0.7746478385415643	0.11022287083630371
n3	0.11522110024230564	0.774468129497367	0.11031077026032735
n44	0.9999999998936524	9.305449575666492e-11	1.3293082863614072e-11
n55	0.9999999998936543	9.305284889333205e-11	1.3292847605413103e-11
n22	0.10594178167930482	0.7926313068883679	0.10142691143232728
SRR14719214	0.0	1.0	0.0
SRR14719219	0.0	1.0	0.0
n33	0.1152762494562496	0.7743601787459254	0.11036357179782501
n5	0.9999999999999557	3.8785354300008815e-14	5.540591289386169e-15
ERR459800	1.0	0.0	0.0
ERR459802	1.0	0.0	0.0
ERR484988	1.0	0.0	0.0
SRR14719279	0.0	1.0	0.0
SRR14719134	0.0	1.0	0.0
SRR14719146	0.0	1.0	0.0
SRR14719109	0.0	1.0	0.0
ERR459799	1.0	0.0	0.0
ERR459801	1.0	0.0	0.0
