node	Australia	Canada	Denmark	Germany	Ireland	Norway	Spain	UK
root	0.10804093771268684	0.03511005043324361	0.11520269045781065	0.04297103332448275	0.023136836679838086	0.04779052719872309	0.047888752272078755	0.5798591719211361
SRR25361468	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n0	0.10775025455173158	0.035129922972522876	0.11528905003859675	0.042943144102827624	0.023125795092010962	0.04777465359520895	0.04787312137277534	0.5801140582743258
ERR5413488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n00	0.04598097266801158	0.05786693813474413	0.20266205227217743	0.03925624485426806	0.02353983257110301	0.0528149080290544	0.05308992407940246	0.524789127391239
n1	0.01523634614828694	0.016763434105722997	0.08036860152867553	0.025850370435066293	0.012518805051068081	0.03791239342853873	0.037316900378115296	0.7740331489245261
n88	0.04589651414869866	0.05798315565012905	0.20304806534588027	0.03925695618027736	0.02355226570652547	0.05284166141204636	0.05311833060694104	0.5243030509495018
n11	0.015258816471672636	0.01678199501854947	0.08034524109850026	0.025907142511427908	0.012549324063950398	0.037938238860711945	0.03743583365735146	0.773783408317836
n3	0.015195490293267206	0.016715182558091027	0.08026796244859999	0.025807928945426595	0.01249169508401686	0.037891207370880815	0.037202016263610825	0.7744285170361067
n9	0.04586586984380316	0.05792545601166526	0.20280743384007027	0.03931326444236381	0.02357291806949985	0.05286750436234039	0.053222923167348016	0.5244246302629092
n99	0.04581648329104697	0.05810504109202098	0.2034526036952909	0.03926280203080641	0.02356760340145223	0.05287456213873849	0.05307370831996506	0.5238471960306791
n2	0.018042059374513152	0.018954967023148275	0.07454933426735846	0.033320573055183815	0.016576127532252023	0.04052448399536074	0.05969225420890257	0.7383402005432811
ERR5412680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n33	0.015220681635860524	0.016736569568351754	0.08025461662333208	0.02586978267992015	0.012524777824973467	0.03802080182852112	0.03723529880754964	0.7741374710314913
n6	0.015169828606972195	0.016683191504338907	0.08022503674937152	0.02579201605570762	0.012477962585090385	0.037808616153578826	0.03712229603679282	0.7747210523081477
ERR5412448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR3198369	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n10	0.04578806623375739	0.0580495274263629	0.2032193997072107	0.03932144310851128	0.023589535123164796	0.052903131863208754	0.053101840114545655	0.5240270564232385
n19	0.0457388223854455	0.05823038118174935	0.20386848582735914	0.039271447168953116	0.02358456091906917	0.052910913430125085	0.05303237974286035	0.5233630093444384
ERR3198390	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
