parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-91.02854906916298
log_likelihood_restricted_MAP	-94.74956693199638
method	MAP
model	F81
num_nodes	297
num_tips	149
scaling_factor	0.036560683205237726
smoothing_factor	0
state_changes_per_avg_branch	0.1265593211474326
Australia	0.13301962248307683
Canada	0.03329900832400233
China	0.0577143604830995
Denmark	0.033344704361620674
Germany	0.07623345382164054
Netherlands	0.03329879133486066
Norway	0.0666012000402491
Singapore	0.03329877234393292
Spain	0.033356987038248714
Taiwan	0.0332987949862151
Thailand	0.033298909669537836
UK	0.19336264784384066
USA	0.23987274726967514
