Type,time,mean,median,upper,lower,year,rate
DCC1,0,1.64E+07,1.32E+07,4.84E+07,3577684.313,2020,0.000629605
DCC1,2220.435061,1.64E+07,1.34E+07,4.46E+07,3811180.237,2018.602,0.000629605
DCC1,4440.870122,1.65E+07,1.39E+07,4.24E+07,4641463.642,2017.204,0.000629605
DCC1,6661.305183,1.68E+07,1.44E+07,4.20E+07,5404595.79,2015.806,0.000629605
DCC1,8881.740244,1.74E+07,1.50E+07,4.30E+07,5945882.781,2014.408,0.000629605
DCC1,11102.17531,1.78E+07,1.52E+07,4.35E+07,6286285.731,2013.01,0.000629605
DCC1,13322.61037,1.80E+07,1.55E+07,4.35E+07,6357195.985,2011.612,0.000629605
DCC1,15543.04543,1.82E+07,1.56E+07,4.39E+07,6440732.985,2010.214,0.000629605
DCC1,17763.48049,1.84E+07,1.57E+07,4.56E+07,6498317.964,2008.816,0.000629605
DCC1,19983.91555,1.85E+07,1.58E+07,4.63E+07,6555820.944,2007.418,0.000629605
DCC1,22204.35061,1.87E+07,1.58E+07,4.65E+07,6590889.083,2006.02,0.000629605
DCC1,24424.78567,1.87E+07,1.59E+07,4.68E+07,6555820.944,2004.622,0.000629605
DCC1,26645.22073,1.88E+07,1.59E+07,4.81E+07,6538229.089,2003.224,0.000629605
DCC1,28865.65579,1.88E+07,1.59E+07,4.72E+07,6538229.089,2001.826,0.000629605
DCC1,31086.09085,1.88E+07,1.59E+07,4.72E+07,6535738.393,2000.428,0.000629605
DCC1,33306.52592,1.89E+07,1.60E+07,4.93E+07,6476111.055,1999.0301,0.000629605
DCC1,35526.96098,1.88E+07,1.59E+07,4.94E+07,6051277.613,1997.6321,0.000629605
DCC1,37747.39604,1.85E+07,1.57E+07,4.94E+07,4187423.923,1996.2341,0.000629605
DCC1,39967.8311,1.81E+07,1.55E+07,4.94E+07,3041394.237,1994.8361,0.000629605
DCC1,42188.26616,1.77E+07,1.51E+07,4.98E+07,2471303.419,1993.4381,0.000629605
DCC1,44408.70122,1.72E+07,1.47E+07,4.95E+07,2142770.471,1992.0401,0.000629605
DCC1,46629.13628,1.66E+07,1.41E+07,4.83E+07,1967749.717,1990.6421,0.000629605
DCC1,48849.57134,1.60E+07,1.36E+07,4.93E+07,1750633.874,1989.2441,0.000629605
DCC1,51070.0064,1.54E+07,1.29E+07,4.83E+07,1524686.521,1987.8461,0.000629605
DCC1,53290.44146,1.47E+07,1.21E+07,4.68E+07,916877.5107,1986.4481,0.000629605
DCC1,55510.87653,1.41E+07,1.11E+07,4.65E+07,195279.2679,1985.0501,0.000629605
DCC1,57731.31159,1.34E+07,1.00E+07,4.65E+07,32244.7801,1983.6521,0.000629605
DCC1,59951.74665,1.26E+07,8306481.672,4.60E+07,28483.2425,1982.2541,0.000629605
DCC1,62172.18171,1.19E+07,6856761.361,4.55E+07,30380.98716,1980.8561,0.000629605
DCC1,64392.61677,1.12E+07,5859616.359,4.30E+07,32531.72895,1979.4581,0.000629605
DCC1,66613.05183,1.06E+07,5063398.545,4.30E+07,34663.16315,1978.0601,0.000629605
DCC1,68833.48689,9975328.754,4407535.652,4.28E+07,37589.12727,1976.6621,0.000629605
DCC1,71053.92195,9220521.946,3694722.921,4.07E+07,37306.19562,1975.2641,0.000629605
