strain,Type
DRR245164,eDCC31
DRR245172,eDCC31
DRR245183,eDCC32
DRR245204,eDCC37
DRR245236,eDCC32
DRR317412,eDCC34
DRR317413,eDCC36
DRR317450,eDCC36
DRR317463,eDCC36
DRR317500,eDCC36
DRR317570,eDCC35
DRR317581,eDCC36
ERR1081289,eDCC37
ERR115030,eDCC37
ERR115081,eDCC37
ERR2524314,DCC6
ERR2524329,eDCC35
ERR2524364,eDCC35
ERR2759465,DCC6
ERR3198367,eDCC32
ERR3198399,eDCC37
ERR337769,eDCC33
ERR337770,eDCC33
ERR340532,eDCC33
ERR340534,eDCC33
ERR340564,NonDCC
ERR343190,eDCC31
ERR363351,DCC6
ERR363422,eDCC30
ERR363442,eDCC32
ERR369155,eDCC31
ERR373942,NonDCC
ERR373979,eDCC32
ERR4020089,DCC6
ERR459771,DCC3
ERR459799,eDCC34
ERR459824,eDCC30
ERR459858,DCC3
ERR459927,DCC3
ERR459928,DCC3
ERR459940,NonDCC
ERR484990,DCC3
ERR494839,eDCC31
ERR494875,DCC7
ERR494876,eDCC35
ERR7253785,eDCC33
SRR14719109,eDCC34
SRR14719134,eDCC34
SRR14719146,eDCC34
SRR6871404,DCC6
SRR7800419,NonDCC
SRR7800431,eDCC30
SRR7800505,NonDCC
SRR7800508,DCC7
SRR7800510,DCC7
SRR7800511,eDCC30
SRR7800726,DCC7
SRR7800729,DCC7
SRR7800730,eDCC30
SRR7800736,eDCC35
