Subtype,Mean,Type,Year,count,log
DCC1,88.71949394,DCC,40.14456739,1677,3.224533063
DCC2,70.15842713,DCC,31.74589463,619,2.791690649
DCC3,132.9616301,DCC,60.16363353,1009,3.003891166
DCC4,20.21662919,DCC,9.147796014,88,1.944482672
DCC5,30.71881278,DCC,13.89991529,37,1.568201724
DCC6,67.6272155,DCC,30.60055,127,2.103803721
DCC7,53.05423832,DCC,24.00644268,111,2.045322979
ECC1,38.61974949,ECC,3.204958464,111,2.045322979
ECC10,35.66995118,ECC,2.960161924,39,1.591064607
ECC12,48.18465117,ECC,3.998726238,36,1.556302501
ECC13,22.56414334,ECC,1.872543016,32,1.505149978
ECC14,48.64183317,ECC,4.036666653,32,1.505149978
ECC16,40.04739729,ECC,3.32343546,25,1.397940009
ECC19,59.24775809,ECC,4.916826398,23,1.361727836
ECC21,27.072563,ECC,2.246685726,23,1.361727836
ECC22,15.73495717,ECC,1.305805574,23,1.361727836
ECC23,26.28941441,ECC,2.181694142,22,1.342422681
ECC24,32.62331042,ECC,2.707328666,22,1.342422681
ECC25,25.923313,ECC,2.151312282,21,1.322219295
ECC27,31.09775068,ECC,2.580726198,19,1.278753601
ECC29,20.27552344,ECC,1.682616053,16,1.204119983
ECC3,33.26211556,ECC,2.76034154,70,1.84509804
ECC30,18.72617656,ECC,1.554039549,16,1.204119983
ECC31,39.89004531,ECC,3.310377204,16,1.204119983
ECC32,36.96151947,ECC,3.067346014,15,1.176091259
ECC33,32.9632064,ECC,2.735535801,15,1.176091259
ECC34,28.676615,ECC,2.379802075,14,1.146128036
ECC38,29.40488829,ECC,2.440239692,12,1.079181246
ECC39,10.06110308,ECC,0.834946314,12,1.079181246
ECC4,19.26909221,ECC,1.599094789,58,1.763427994
ECC40,27.91308917,ECC,2.316438935,12,1.079181246
ECC41,37.57682445,ECC,3.118408668,11,1.041392685
ECC45,22.57742938,ECC,1.873645592,9,0.954242509
ECC46,41.55716322,ECC,3.448727238,9,0.954242509
ECC47,3.197962286,ECC,0.265391061,8,0.903089987
ECC5,26.41165787,ECC,2.191838827,54,1.73239376
ECC6,40.49737917,ECC,3.360778354,48,1.681241237
ECC7,19.89346756,ECC,1.650910171,43,1.633468456
ECC8,60.17030576,ECC,4.99338637,42,1.62324929
ECC9,46.93475615,ECC,3.89500051,42,1.62324929
