Subtype,Median,count,Type,Year,log
DCC1,64.6557425,1677,DCC,36.32345084,3.224533063
DCC2,118.8578275,619,DCC,66.77406039,2.791690649
DCC3,134.8683825,1009,DCC,75.76875421,3.003891166
DCC5,32.145338,37,DCC,18.05917865,1.568201724
DCC6,58.832904,127,DCC,33.05219326,2.103803721
ECC1,34.356938,111,ECC,19.30165056,2.045322979
ECC12,44.618424,36,ECC,25.06653034,1.556302501
ECC18,5.967654,24,ECC,3.352614607,1.380211242
ECC19,51.674545,23,ECC,29.03064326,1.361727836
ECC28,27.396375,17,ECC,15.39122191,1.230448921
ECC41,39.176,13,ECC,22.00898876,1.113943352
ECC47,2.144856,11,ECC,1.204975281,1.041392685
ECC56,8.09472,10,ECC,4.547595506,1
ECC60,12.579712,8,ECC,7.067253933,0.903089987
ECC9,30.997152,42,ECC,17.41413034,1.62324929
