Type,time,mean,median,upper,lower,rate,year
eDCC8,0,946103.854,547170.362,3956565.4,53714.4148,0.000133638,2020
eDCC8,3588.79322,3325403.3,2861798.1,8064310.54,1274265.532,0.000133638,2019.520401
eDCC8,7177.58644,3856026.78,3325980.06,9530397.92,1467171.462,0.000133638,2019.040801
eDCC8,10766.3797,3787199.66,3244686.98,9529093.56,1150413.992,0.000133638,2018.561202
eDCC8,14355.1729,3548040.28,3079526.74,8841164.66,879096.87,0.000133638,2018.081602
eDCC8,17943.9661,3300587.4,2869768.26,8330828.22,782510.06,0.000133638,2017.602003
eDCC8,21532.7593,3072758.72,2599051.78,8100196.76,586165.152,0.000133638,2017.122403
eDCC8,25121.5526,2786606.8,2256413.52,7895175.62,303850.278,0.000133638,2016.642804
eDCC8,28710.3458,2504787.42,1820416.14,7780137.3,225525.044,0.000133638,2016.163205
eDCC8,32299.139,2237271.48,1369267.532,7594085.24,229291.734,0.000133638,2015.683605
eDCC8,35887.9322,2002650.64,1123897.616,7427428.02,241132.652,0.000133638,2015.204006
eDCC8,39476.7254,1791578.308,1021438.606,7080165.24,281475.848,0.000133638,2014.724406
eDCC8,43065.5187,1632242.282,977047.028,6455650.3,308971.8,0.000133638,2014.244807
eDCC8,46654.3119,1493172.714,965262.04,6039020.82,347604.232,0.000133638,2013.765207
eDCC8,50243.1051,1374657.04,966706.318,5535489.5,392172.964,0.000133638,2013.285608
eDCC8,53831.8983,1283660.08,965286.422,4845441.92,411019.914,0.000133638,2012.806009
eDCC8,57420.6915,1228909.638,962858.894,4009819.96,429194.834,0.000133638,2012.326409
eDCC8,61009.4848,1204822.55,982673.846,3654533.9,473170.316,0.000133638,2011.84681
eDCC8,64598.278,1150664.002,979808.514,2918308.86,477398.47,0.000133638,2011.36721
eDCC8,68187.0712,1123342.558,984392.186,2508647.3,484225.14,0.000133638,2010.887611
eDCC8,71775.8644,1118945.826,991773.096,2400075.06,499516.972,0.000133638,2010.408011
eDCC8,75364.6577,1110211.98,999765.56,2301299.62,508829.842,0.000133638,2009.928412
eDCC8,78953.4509,1106552.136,1005198.47,2267635.84,514964.648,0.000133638,2009.448813
eDCC8,82542.2441,1111621.782,1011165.338,2219231.04,521631.698,0.000133638,2008.969213
eDCC8,86131.0373,1115431.916,1018762.978,2206178.1,525642.254,0.000133638,2008.489614
eDCC8,89719.8305,1115886.444,1023227.808,2219231.04,528560.788,0.000133638,2008.010014
eDCC8,93308.6238,1116613.502,1024201.642,2205939.26,530991.14,0.000133638,2007.530415
eDCC8,96897.417,1118038.848,1024480.582,2246532.64,530991.14,0.000133638,2007.050815
eDCC8,100486.21,1120459.296,1024480.582,2273353.32,531509.606,0.000133638,2006.571216
eDCC8,104075.003,1120531.444,1024313.978,2277492.38,531509.606,0.000133638,2006.091617
eDCC8,107663.797,1121957.294,1024916.152,2273353.32,531833.01,0.000133638,2005.612017
eDCC8,111252.59,1124388.306,1026512.832,2277492.38,532148.544,0.000133638,2005.132418
eDCC8,114841.383,1123985.872,1027564.574,2265041.2,532466.568,0.000133638,2004.652818
eDCC8,118430.176,1120589.708,1026604.586,2219231.04,532466.568,0.000133638,2004.173219
eDCC8,122018.97,1118407.746,1026312.858,2187474.9,532466.568,0.000133638,2003.693619
eDCC8,125607.763,1117896.322,1026312.858,2189003.5,532148.544,0.000133638,2003.21402
eDCC8,129196.556,1116813.17,1026512.832,2187474.9,532148.544,0.000133638,2002.734421
eDCC8,132785.349,1116308.702,1026180.41,2182586.88,532148.544,0.000133638,2002.254821
eDCC8,136374.142,1117226.268,1026312.858,2183899.08,531833.01,0.000133638,2001.775222
eDCC8,139962.936,1117998.754,1026512.832,2187474.9,531509.606,0.000133638,2001.295622
eDCC8,143551.729,1119254.578,1026312.858,2189003.5,531509.606,0.000133638,2000.816023
eDCC8,147140.522,1120433.748,1026312.858,2197053.48,531509.606,0.000133638,2000.336423
eDCC8,150729.315,1119966.018,1026512.832,2197053.48,530991.14,0.000133638,1999.856824
eDCC8,154318.109,1119915.73,1026312.858,2219231.04,526755.868,0.000133638,1999.377224
eDCC8,157906.902,1121725.27,1026312.858,2246532.64,524043.502,0.000133638,1998.897625
eDCC8,161495.695,1121391.352,1026180.41,2246532.64,520754.232,0.000133638,1998.418026
eDCC8,165084.488,1123806.224,1026512.832,2265041.2,518454.132,0.000133638,1997.938426
eDCC8,168673.281,1123830.178,1026512.832,2265041.2,514964.648,0.000133638,1997.458827
eDCC8,172262.075,1124470.158,1026604.586,2273353.32,513833.46,0.000133638,1996.979227
eDCC8,175850.868,1124080.99,1025152.336,2277492.38,512758.556,0.000133638,1996.499628
eDCC8,179439.661,1123701.828,1025152.336,2277492.38,512079.384,0.000133638,1996.020029
eDCC8,183028.454,1123638.844,1025152.336,2277492.38,508858.87,0.000133638,1995.540429
eDCC8,186617.248,1122732.734,1024698.084,2277492.38,507005.79,0.000133638,1995.06083
eDCC8,190206.041,1122408.88,1024698.084,2277492.38,506587.444,0.000133638,1994.58123
eDCC8,193794.834,1122737.818,1024698.084,2281566.66,504569.36,0.000133638,1994.101631
eDCC8,197383.627,1123695.12,1024698.084,2281926.04,504424.032,0.000133638,1993.622031
eDCC8,200972.42,1123040.728,1024480.582,2281926.04,502903.144,0.000133638,1993.142432
eDCC8,204561.214,1123421.48,1024916.152,2281926.04,502903.144,0.000133638,1992.662832
eDCC8,208150.007,1122819.302,1024698.084,2283554.94,496178.966,0.000133638,1992.183233
eDCC8,211738.8,1122109.91,1024480.582,2283554.94,494886.654,0.000133638,1991.703634
eDCC8,215327.593,1122628.864,1024313.978,2293063.54,485928.364,0.000133638,1991.224034
eDCC8,218916.387,1122317.756,1024306.678,2293063.54,485858.228,0.000133638,1990.744435
eDCC8,222505.18,1120847.592,1023920.262,2293063.54,479117.738,0.000133638,1990.264835
eDCC8,226093.973,1119203.194,1022638.534,2293063.54,477965.148,0.000133638,1989.785236
eDCC8,229682.766,1118254.964,1022638.534,2283554.94,477398.47,0.000133638,1989.305637
eDCC8,233271.559,1118011.852,1021438.606,2283554.94,477398.47,0.000133638,1988.826037
eDCC8,236860.353,1118289.414,1022237.21,2293063.54,477324.192,0.000133638,1988.346438
eDCC8,240449.146,1117862.522,1021353.546,2293063.54,477324.192,0.000133638,1987.866838
eDCC8,244037.939,1116098.052,1021353.546,2281926.04,477324.192,0.000133638,1987.387239
