"SampleSize","Subsample","RepeatedValuesCount","Per"
50,"Subsample1",11,0.44
50,"Subsample2",8,0.64
50,"Subsample3",8,0.64
50,"Subsample4",8,0.68
50,"Subsample5",11,0.54
50,"Subsample6",9,0.66
50,"Subsample7",9,0.56
50,"Subsample8",8,0.64
50,"Subsample9",10,0.56
50,"Subsample10",9,0.62
50,"Subsample11",10,0.58
50,"Subsample12",7,0.76
50,"Subsample13",10,0.58
50,"Subsample14",13,0.42
50,"Subsample15",9,0.56
50,"Subsample16",12,0.46
50,"Subsample17",9,0.56
50,"Subsample18",10,0.54
50,"Subsample19",12,0.5
50,"Subsample20",13,0.48
100,"Subsample1",19,0.41
100,"Subsample2",22,0.44
100,"Subsample3",21,0.35
100,"Subsample4",22,0.36
100,"Subsample5",21,0.4
100,"Subsample6",20,0.41
100,"Subsample7",24,0.31
100,"Subsample8",21,0.34
100,"Subsample9",23,0.33
100,"Subsample10",22,0.33
100,"Subsample11",18,0.43
100,"Subsample12",21,0.38
100,"Subsample13",21,0.38
100,"Subsample14",23,0.35
100,"Subsample15",20,0.43
100,"Subsample16",22,0.34
100,"Subsample17",25,0.3
100,"Subsample18",20,0.33
100,"Subsample19",19,0.48
100,"Subsample20",20,0.41
300,"Subsample1",39,0.296666666666667
300,"Subsample2",44,0.253333333333333
300,"Subsample3",44,0.25
300,"Subsample4",41,0.296666666666667
300,"Subsample5",45,0.243333333333333
300,"Subsample6",45,0.203333333333333
300,"Subsample7",40,0.3
300,"Subsample8",45,0.23
300,"Subsample9",40,0.263333333333333
300,"Subsample10",41,0.233333333333333
300,"Subsample11",43,0.203333333333333
300,"Subsample12",45,0.286666666666667
300,"Subsample13",38,0.31
300,"Subsample14",44,0.243333333333333
300,"Subsample15",40,0.24
300,"Subsample16",40,0.28
300,"Subsample17",44,0.263333333333333
300,"Subsample18",39,0.273333333333333
300,"Subsample19",45,0.256666666666667
300,"Subsample20",39,0.236666666666667
500,"Subsample1",51,0.238
500,"Subsample2",49,0.266
500,"Subsample3",51,0.268
500,"Subsample4",51,0.232
500,"Subsample5",49,0.23
500,"Subsample6",51,0.234
500,"Subsample7",51,0.22
500,"Subsample8",49,0.256
500,"Subsample9",48,0.258
500,"Subsample10",46,0.272
500,"Subsample11",50,0.232
500,"Subsample12",50,0.226
500,"Subsample13",49,0.286
500,"Subsample14",50,0.262
500,"Subsample15",48,0.252
500,"Subsample16",50,0.274
500,"Subsample17",49,0.236
500,"Subsample18",50,0.26
500,"Subsample19",49,0.236
500,"Subsample20",49,0.214
1000,"Subsample1",54,0.214
1000,"Subsample2",55,0.234
1000,"Subsample3",57,0.209
1000,"Subsample4",57,0.223
1000,"Subsample5",55,0.231
1000,"Subsample6",56,0.244
1000,"Subsample7",56,0.227
1000,"Subsample8",57,0.243
1000,"Subsample9",56,0.226
1000,"Subsample10",56,0.233
1000,"Subsample11",56,0.208
1000,"Subsample12",55,0.22
1000,"Subsample13",57,0.212
1000,"Subsample14",55,0.223
1000,"Subsample15",55,0.226
1000,"Subsample16",55,0.221
1000,"Subsample17",54,0.246
1000,"Subsample18",56,0.216
1000,"Subsample19",55,0.233
1000,"Subsample20",57,0.222
