Subtype,Mean,time,Type,Year,count,log,log2
DCC1,1881.600284,138.399716,DCC,25,2536,3.404149249,11.30833903
DCC2,1916.3709,103.6291001,DCC,29,995,2.997823081,9.958552715
DCC3,1886.962427,133.0375728,DCC,52,1314,3.118595365,10.35974956
DCC4,1999.746701,20.25329874,DCC,10,351,2.545307116,8.45532722
DCC5,1992.471407,27.52859337,DCC,22,124,2.093421685,6.95419631
DCC6,1951.378221,68.6217792,DCC,50,259,2.413299764,8.016808288
DCC7,1980.340773,39.65922666,DCC,20,145,2.161368002,7.17990909
eDCC10,2005.080841,14.91915931,eDCC,12,135,2.130333768,7.076815597
eDCC11,1983.088448,36.91155248,eDCC,11,130,2.113943352,7.022367813
eDCC12,1980.548684,39.45131593,eDCC,22,120,2.079181246,6.906890596
eDCC13,1927.071899,92.92810064,eDCC,39,116,2.064457989,6.857980995
eDCC14,1955.989205,64.01079495,eDCC,22,104,2.017033339,6.700439718
eDCC15,2005.173164,14.82683611,eDCC,6,77,1.886490725,6.266786541
eDCC16,1994.879486,25.12051425,eDCC,21,71,1.851258349,6.14974712
eDCC17,1993.884605,26.11539516,eDCC,20,59,1.770852012,5.882643049
eDCC18,2016.028747,3.971253132,eDCC,4,52,1.716003344,5.700439718
eDCC19,2013.297572,6.702427715,eDCC,5,44,1.643452676,5.459431619
eDCC20,2000.590293,19.40970743,eDCC,7,40,1.602059991,5.321928095
eDCC21,1995.027561,24.9724395,eDCC,10,28,1.447158031,4.807354922
eDCC22,1994.060944,25.93905595,eDCC,7,33,1.51851394,5.044394119
eDCC23,1983.932644,36.06735585,eDCC,27,30,1.477121255,4.906890596
eDCC24,2006.496666,13.50333352,eDCC,8,30,1.477121255,4.906890596
eDCC25,1924.631133,95.36886651,eDCC,63,24,1.380211242,4.584962501
eDCC26,2013.274602,6.725398406,eDCC,6,25,1.397940009,4.64385619
eDCC27,1954.069071,65.93092944,eDCC,9,14,1.146128036,3.807354922
eDCC28,1968.469479,51.53052115,eDCC,12,10,1,3.321928095
eDCC29,2013.236042,6.763957697,eDCC,13,9,0.954242509,3.169925001
eDCC30,1999.856789,20.14321108,eDCC,6,220,2.342422681,7.781359714
eDCC31,1994.546997,25.45300278,eDCC,15,50,1.698970004,5.64385619
eDCC32,2007.864608,12.13539156,eDCC,10,45,1.653212514,5.491853096
eDCC33,2016.263385,3.736614782,eDCC,1,14,1.146128036,3.807354922
eDCC34,2011.644314,8.355686216,eDCC,20,18,1.255272505,4.169925001
eDCC35,2008.190572,11.80942758,eDCC,15,15,1.176091259,3.906890596
eDCC36,2013.3881,6.611900151,eDCC,19,8,0.903089987,3
eDCC37,2017.335304,2.664696227,eDCC,9,8,0.903089987,3
eDCC38,2011.964105,8.035894811,eDCC,8,64,1.806179974,6
eDCC8,1970.913307,49.0866929,eDCC,14,238,2.376576957,7.894817763
eDCC9,1980.168952,39.83104759,eDCC,19,163,2.212187604,7.348728154
