strains,type_ref,match_per,typing,tree_name,
ERR337832,DCC3,0.9714,DCC3,DCC3,1
ERR369236,DCC3,0.9714,DCC3,DCC3,1
ERR369271,DCC3,0.9716,DCC3,DCC3,1
ERR490684,DCC3,0.9716,DCC3,DCC3,1
ERR369220,DCC3,0.9718,DCC3,DCC3,1
ERR369287,DCC3,0.9721,DCC3,DCC3,1
SRR14043013,DCC3,0.9721,DCC3,DCC3,1
ERR4298319,eDCC9,0.9724,eDCC9,eDCC9,1
ERR7253694,eDCC9,0.9724,eDCC9,eDCC9,1
ERR7253778,eDCC9,0.9724,eDCC9,eDCC9,1
SRR14719256,eDCC9,0.9724,eDCC9,eDCC9,1
ERR4298303,eDCC9,0.9725,eDCC9,eDCC9,1
ERR7253677,eDCC9,0.9725,eDCC9,eDCC9,1
ERR337848,DCC3,0.9725,DCC3,DCC3,1
SRR14719142,DCC3,0.9727,DCC3,DCC3,1
ERR5384765,eDCC9,0.973,eDCC9,eDCC9,1
ERR5384821,DCC3,0.9732,DCC3,DCC3,1
DRR317547,DCC3,0.9734,DCC3,DCC3,1
SRR14043025,DCC3,0.9734,DCC3,DCC3,1
SRR14719257,DCC3,0.9747,DCC3,DCC3,1
DRR245152,DCC3,0.975,DCC3,DCC3,1
ERR330901,DCC3,0.9756,DCC3,DCC3,1
ERR459879,DCC3,0.9756,DCC3,DCC3,1
SRR12051829,eDCC31,0.9757,eDCC31,eDCC31,1
DRR317588,DCC3,0.9759,DCC3,DCC3,1
ERR459884,DCC3,0.9759,DCC3,DCC3,1
ERR459919,DCC3,0.9759,DCC3,DCC3,1
DRR245252,DCC3,0.9761,DCC3,DCC3,1
ERR459880,DCC3,0.9761,DCC3,DCC3,1
ERR460069,DCC3,0.9761,DCC3,DCC3,1
ERR459893,DCC3,0.9763,DCC3,DCC3,1
ERR2759452,eDCC31,0.9763,eDCC31,eDCC31,1
ERR459889,DCC3,0.9765,DCC3,DCC3,1
ERR459895,DCC3,0.9765,DCC3,DCC3,1
ERR459883,DCC3,0.9767,DCC3,DCC3,1
ERR459892,DCC3,0.9767,DCC3,DCC3,1
ERR460068,DCC3,0.9767,DCC3,DCC3,1
ERR460070,DCC3,0.9767,DCC3,DCC3,1
ERR460073,DCC3,0.9767,DCC3,DCC3,1
ERR460077,DCC3,0.9767,DCC3,DCC3,1
ERR459874,DCC3,0.977,DCC3,DCC3,1
ERR459896,DCC3,0.977,DCC3,DCC3,1
ERR459898,DCC3,0.977,DCC3,DCC3,1
ERR460065,DCC3,0.977,DCC3,DCC3,1
ERR460066,DCC3,0.977,DCC3,DCC3,1
ERR460076,DCC3,0.977,DCC3,DCC3,1
ERR460078,DCC3,0.977,DCC3,DCC3,1
ERR460079,DCC3,0.977,DCC3,DCC3,1
ERR460080,DCC3,0.977,DCC3,DCC3,1
DRR317509,eDCC31,0.9772,eDCC31,eDCC31,1
ERR459873,DCC3,0.9772,DCC3,DCC3,1
ERR459891,DCC3,0.9772,DCC3,DCC3,1
ERR460064,DCC3,0.9772,DCC3,DCC3,1
ERR460074,DCC3,0.9772,DCC3,DCC3,1
ERR460075,DCC3,0.9772,DCC3,DCC3,1
DRR317507,eDCC33,0.9774,eDCC33,eDCC33,1
DRR317521,eDCC33,0.9774,eDCC33,eDCC33,1
SRR14719294,DCC3,0.9774,DCC3,DCC3,1
DRR317560,DCC1,0.9775,DCC1,DCC1,1
DRR317603,DCC3,0.9776,DCC3,DCC3,1
ERR459881,DCC3,0.9776,DCC3,DCC3,1
ERR459888,DCC3,0.9776,DCC3,DCC3,1
ERR2524302,eDCC31,0.9777,eDCC31,eDCC31,1
SRR6388743,DCC2,0.9778,DCC2,DCC2,1
