"parent","node","branch.length","label.x","date","geo_loc_name_country","label.y","isTip","x","y","branch","angle"
90,1,0.00337,"SRR28113981","3405.419697","China",NA,TRUE,135.52858,20,135.526895,82.7586206896552
91,2,0.00337,"SRR28113988","3405.42307","China",NA,TRUE,135.53195,21,135.530265,86.8965517241379
92,3,0.00337,"SRR28113990","3405.426443","China",NA,TRUE,135.53532,22,135.533635,91.0344827586207
96,4,0.00337,"SRR28113989","3405.439935","China",NA,TRUE,135.5488,31,135.547115,128.275862068966
99,5,0.00337,"SRR28113970","3405.450054","China",NA,TRUE,135.55891,32,135.557225,132.413793103448
101,6,0.00337,"SRR28113977","3405.4568","China",NA,TRUE,135.56565,34,135.563965,140.689655172414
101,7,0.00337,"SRR28113985","3405.4568","China",NA,TRUE,135.56565,35,135.563965,144.827586206897
100,8,0.00337,"SRR28113962","3405.453427","China",NA,TRUE,135.56228,33,135.560595,136.551724137931
104,9,0.00337,"SRR28113960","3405.4568","China",NA,TRUE,135.56565,38,135.563965,157.241379310345
104,10,0.00337,"SRR28113966","3405.4568","China",NA,TRUE,135.56565,39,135.563965,161.379310344828
103,11,0.00337,"SRR28113979","3405.453427","China",NA,TRUE,135.56228,37,135.560595,153.103448275862
102,12,0.00337,"SRR28113965","3405.450054","China",NA,TRUE,135.55891,36,135.557225,148.965517241379
105,13,0.00337,"SRR28113968","3405.446681","China",NA,TRUE,135.55554,40,135.553855,165.51724137931
106,14,0.00337,"SRR28113983","3405.450054","China",NA,TRUE,135.55891,41,135.557225,169.655172413793
109,15,0.00337,"SRR28113978","3405.460173","China",NA,TRUE,135.56902,45,135.567335,186.206896551724
110,16,0.00337,"SRR28113974","3405.463546","China",NA,TRUE,135.57239,46,135.570705,190.344827586207
110,17,0.00337,"SRR28113963","3405.463546","China",NA,TRUE,135.57239,47,135.570705,194.48275862069
111,18,0.00337,"SRR28113964","3405.460173","China",NA,TRUE,135.56902,48,135.567335,198.620689655172
112,19,0.00337,"SRR28113984","3405.463546","China",NA,TRUE,135.57239,49,135.570705,202.758620689655
114,20,0.00337,"SRR28113982","3405.470292","China",NA,TRUE,135.57913,51,135.577445,211.034482758621
114,21,0.00337,"SRR28113967","3405.470292","China",NA,TRUE,135.57913,52,135.577445,215.172413793103
113,22,0.00337,"SRR28113961","3405.466919","China",NA,TRUE,135.57576,50,135.574075,206.896551724138
116,23,1.36801,"SRR28113973","3406.824813","China",NA,TRUE,136.93366,43,136.249655,177.931034482759
116,24,1.36801,"SRR28113987","3406.824813","China",NA,TRUE,136.93366,44,136.249655,182.068965517241
115,25,0.00337,"SRR28113971","3405.4568","China",NA,TRUE,135.56565,42,135.563965,173.793103448276
119,26,0.00337,"SRR28113980","3406.810917","China",NA,TRUE,136.91978,28,136.918095,115.862068965517
120,27,0.00337,"SRR28113986","3406.81429","China",NA,TRUE,136.92315,29,136.921465,120
120,28,0.00337,"SRR28113975","3406.81429","China",NA,TRUE,136.92315,30,136.921465,124.137931034483
118,29,0.00337,"SRR28113972","3406.807544","China",NA,TRUE,136.91641,27,136.914725,111.724137931034
117,30,0.00337,"SRR28113976","3406.804171","China",NA,TRUE,136.91304,26,136.911355,107.586206896552
121,31,1.36761,"SRR28113959","3406.800798","China",NA,TRUE,136.90967,24,136.225865,99.3103448275862
121,32,1.36831,"SRR28113969","3406.801499","China",NA,TRUE,136.91037,25,136.226215,103.448275862069
93,33,0.00337,"SRR28113991","3405.429816","China",NA,TRUE,135.53869,23,135.537005,95.1724137931035
125,34,0.00337,"ERR5411973","3353.805291","UK",NA,TRUE,83.91478,70,83.913095,289.655172413793
125,35,0.00337,"ERR5412405","3353.805291","UK",NA,TRUE,83.91478,71,83.913095,293.793103448276
124,36,12.5393,"ERR5412503","3351.514381","UK",NA,TRUE,81.62381,69,75.35416,285.51724137931
127,37,10.0192,"DRR317522","3335.785936","Taiwan",NA,TRUE,65.89531,72,60.88571,297.931034482759
