strain,Type
DRR245256,eDCC13
DRR317496,eDCC22
ERR1081292,DCC4
ERR114986,eDCC29
ERR115091,eDCC17
ERR115104,eDCC29
ERR1413187,eDCC8
ERR1787821,DCC2
ERR2759473,eDCC10
ERR2759475,eDCC10
ERR2759491,eDCC10
ERR2759531,eDCC25
ERR3142019,DCC1
ERR3142174,DCC1
ERR3142268,DCC1
ERR3198400,eDCC12
ERR330770,eDCC10
ERR330778,eDCC14
ERR330793,eDCC26
ERR330794,eDCC26
ERR330837,eDCC23
ERR337735,eDCC8
ERR337744,eDCC14
ERR337750,DCC2
ERR337766,eDCC14
ERR337771,eDCC21
ERR337772,eDCC21
ERR337773,eDCC21
ERR337782,eDCC9
ERR337825,eDCC23
ERR337854,eDCC11
ERR340493,eDCC18
ERR340495,eDCC27
ERR340501,eDCC11
ERR343177,eDCC12
ERR343204,eDCC21
ERR343219,eDCC24
ERR363280,eDCC26
ERR363281,eDCC26
ERR363314,DCC4
ERR363315,DCC4
ERR363324,DCC2
ERR363370,eDCC14
ERR363485,eDCC25
ERR369214,eDCC22
ERR369255,eDCC23
ERR369264,eDCC23
ERR369323,eDCC11
ERR369340,NonDCC
ERR374008,eDCC11
ERR374012,NonDCC
ERR374067,eDCC20
ERR374070,eDCC20
ERR374104,eDCC24
ERR374113,eDCC20
ERR374126,eDCC27
ERR374133,eDCC11
ERR374173,eDCC15
ERR4020067,eDCC29
ERR4020083,eDCC18
ERR4020093,eDCC29
ERR4020107,eDCC24
ERR4020114,DCC2
ERR4326504,eDCC9
ERR459776,eDCC25
ERR459817,eDCC16
ERR459821,eDCC16
ERR459906,eDCC15
ERR459911,eDCC15
ERR459915,eDCC15
ERR459965,DCC5
ERR459967,eDCC29
ERR460017,eDCC15
ERR484959,DCC5
ERR484965,DCC1
ERR484982,DCC5
ERR490688,eDCC8
ERR490701,eDCC8
ERR494840,DCC2
ERR494842,eDCC16
ERR494881,eDCC20
ERR494896,eDCC20
ERR494954,DCC5
ERR5384776,DCC5
ERR5412384,eDCC19
ERR5412404,eDCC19
ERR5412962,eDCC19
ERR5413459,eDCC19
ERR5413910,eDCC19
ERR7253677,eDCC9
ERR7253692,eDCC12
ERR7253708,eDCC17
ERR7253725,eDCC21
ERR7253727,eDCC16
ERR7253757,eDCC28
ERR7253798,eDCC28
ERR7253826,eDCC17
ERR8266613,DCC1
ERR8266615,eDCC10
ERR956273,eDCC16
SRR12051601,eDCC24
SRR12051743,DCC4
SRR12051853,eDCC8
SRR12051870,eDCC25
SRR12051872,eDCC17
SRR12574849,eDCC23
SRR12574854,eDCC28
SRR12574855,eDCC28
SRR13786025,eDCC27
SRR13786036,eDCC27
SRR14043048,eDCC25
SRR14719147,eDCC12
SRR14719252,DCC4
SRR14719282,eDCC12
SRR14719287,eDCC22
SRR14719299,eDCC22
SRR14719315,eDCC22
SRR15713764,eDCC9
SRR17771769,NonDCC
SRR18969500,eDCC13
SRR18969528,eDCC28
SRR3321818,NonDCC
SRR6044902,eDCC14
SRR6045361,eDCC18
SRR6046595,eDCC18
SRR6046648,eDCC17
SRR6388694,eDCC18
SRR6388700,NonDCC
SRR6388724,eDCC26
SRR6388762,eDCC13
SRR6871408,eDCC9
SRR7800491,eDCC13
SRR7800637,eDCC13
SRR7800702,eDCC27
SRR7800709,eDCC24
