IGR,count
espR-MAB_0117c,222
murA-MAB_1458,106
rrs,77
MAB_3538-whiB1,70
MAB_0938c-MAB_0939,52
MAB_1883c-aceE,51
MAB_0851-MAB_0852,44
MAB_4027-MAB_4028,44
MAB_2329c-MAB_2330,42
MAB_0476c-MAB_0477,42
rrl,31
MAB_1067-MAB_1069c,30
MAB_4155c-MAB_4156c,28
rrl-MAB_1458,28
MAB_4100c-EFV83_RS06680,26
nrdF-MAB_3405,36
MAB_1914c-MAB_1915,23
MAB_2798c-MAB_2799,23
MAB_3211c-dprA,23
MAB_4680c-MAB_1117c,21
rbfA-MAB_3132c,21
MAB_4024c-MAB_4026c,20
rpsH-MAB_3799c,20
